Age,Crimes
31,1676
85,28
65,229
53,839
78,65
34,1471
81,60
28,2147
76,99
27,2238
26,2153
44,1137
12,286
91,11
22,2411
93,7
47,1179
1,166
52,871
13,433
16,1307
6,111
86,43
3,140
20,3102
40,1387
94,7
57,570
54,741
96,2
48,1208
5,125
19,2312
92,17
64,253
41,1085
43,1146
15,1022
37,1292
61,421
88,33
17,1781
9,152
72,117
505,1
35,1561
59,441
4,130
55,703
8,124
23,2377
39,1214
49,1137
7,108
84,44
87,25
171,1
51,912
69,133
63,258
10,150
77,86
50,1110
45,1343
38,1402
82,51
80,61
25,2590
73,105
24,2390
70,129
62,353
29,2028
21,2362
60,389
32,1474
90,10
75,87
151,2
56,575
304,1
58,487
33,54390
11,187
83,60
68,197
71,131
14,632
42,1154
2,150
79,72
201,1
30,2219
99,41
66,201
46,1239
67,194
0,165
18,2254
74,114
134,1
36,1256
89,39
191,1
98,1
203,1
232,1
142,1
100,2
95,2
303,1
