Description,Crimes
Possession/Sale/Dist,4058
Stealing from Buildi,5182
Aggravated Assault (,5069
Stalking,11
Stealing Auto Parts/,8665
Drunkenness,127
Family Disturbance,22
Statutory Rape,75
Liquor Law Violaton,86
Stealing From Auto,9413
Agg Assault - Drive-,650
Sex Offense -others,54
Intimidation,1712
Forcible Sodomy,323
Forged Checks,549
Family Offense,556
False Information to,160
Credit/Debit/ATM Car,783
Sexual Assault with,9
Failure to Return,59
False ID,7
Burglary - Non Resid,2366
Attempt Suicide by C,95
Prostitution/Patroni,48
Weapons Law Violatio,531
Embezzlement,307
Impersonation - NOT,169
Resisting an Officer,1076
Burglary - Residence,13306
AGG ASSLT,5
Rape,545
Counterfeiting,72
Arson,589
Misc Violation,5608
Passing Bad Checks,83
Suicide By Hanging,4
Fraud,927
stealing accessories,2
Property Damage,12284
HOMICIDE/Non Neglige,156
Agg Assault - Domest,1548
Forgery,645
Sex Off Indecent Exp,101
Bomb Threat/Intimida,28
Trespassing,1902
Sex Off Misconduct,118
Stealing from buildi,2
Extortion/Blackmail,6
Animal Bite - Dog,8
Arson with Fire Bomb,18
Forcible Fondling,18
aggravated assault,2
Violation Ex Parte O,208
Auto Theft Outside S,1061
Attempt Suicide by P,9
False Bomb Report/Bo,29
Wire Fraud,95
Stolen Property OFFE,431
bus robbery,3
Non Aggravated Assau,6931
Sex Off Fondle - mol,263
Attempt Suicide by O,24
Stealing Bicycles,188
Dead Body,355
Stealing Shoplifting,5854
Strong Arm Robbery,1811
HOMICIDE,37
Stealing Coin Operat,44
Casualty (includes a,13
driving under the in,2
Sports Tampering,2
Stealing All Other,5028
Driving Under Influe,143
Justifiable Homicide,7
Possession of Drug E,1274
Armed Robbery,4669
Dangerous and Concea,170
Violation Full Order,591
Suicide By Shooting,7
Interference with Cu,125
Disorderly Conduct,1253
Alien,10
Dangerous and Conce,1
Non Agg Assault Dome,7275
Attempt Suicide,1
res burglary,2
Auto Theft,7027
Kidnapping/Abduction,82
Pornography,7
Impersonation,1019
Stealing Pickpocket,87
dv agg assault,2
Suicide By Sleeping,19
Curfew,58
stolen/recoverd auto,4
Sex Off Indecent Con,85
Stealing Purse Snatc,186
Attempt Suicide by S,161
Agg Assault Dome,2
Attempt Suicide by J,5
Missing/Runaway Juve,7
Peeping Tom,3
2601,2
5,4
ARSON,2
stealing acc,2
Agg Assault,3
property damage,4
Loitering,10
Welfare Fraud,6
Hit and Run of a Per,6
Suicide - Domestic V,3
c,2
Littering,2
Attempt Suicide by G,1
Bombing (other than,4
forgery,3
fraud,8
Fraud Confidence Gam,14
Attempt Suicide by H,11
Aggravated Assault,14
F,2
armed robbery,4
stealing shoplifting,2
Stealing Auto Parts,3
Sex Off Incest,2
Promoting Prostituti,5
Sex Off Follow/Entic,1
stealing,2
stealing ACC,2
Vehicular Fatality -,1
RESIST OFFICER,3
counterfeit,2
non agg assault/spit,2
