Rep_Dist,Crimes
PJ5862,26
PJ4758,12
PJ2439,8
PP0285,158
PJ6064,92
PJ4079,71
PJ1021,16
PC0917,4
PJ5142,41
PJ1354,27
PJ1121,10
PJ3195,10
PJ3172,64
PJ2001,9
PJ1325,41
PJ4493,34
PJ0187,10
PJ2228,24
PJ2711,18
PC1361,4
PJ2129,27
PJ2475,4
PJ4069,12
PJ2881,9
PJ0892,18
PC0806,76
PJ4056,34
PJ4668,57
PJ3063,8
PJ3725,58
PJ4635,52
PJ3563,23
PC0267,48
PJ7212,8
PJ1744,7
PJ6116,8
PJ5274,4
PJ4035,53
PC0322,4
PJ1047,9
PJ6266,9
PJ1428,8
PJ2452,17
PC1184,4
PC0193,6
PJ2622,6
PJ4897,16
PC0294,109
PJ4207,120
PJ0216,6
PJ5424,5
PJ6690,23
PJ2856,30
PJ4957,10
PJ1437,13
PJ3847,10
PJ4971,2
PJ4246,25
PJ6112,2
PP0646,16
PJ2900,72
PJ2135,33
PJ1964,28
PJ0172,20
PJ0198,17
PJ3676,12
PJ0346,9
PJ1564,3
PJ3593,8
PJ1013,75
PJ4583,8
PJ6807,11
PJ5992,18
PJ5125,25
PJ5516,12
PJ2577,57
PJ4307,28
PJ4952,6
PJ1865,16
PJ0068,5
PJ6190,47
PJ2743,2
PJ0240,8
PJ4759,25
PC0879,9
PJ0062,6
PJ4832,14
PP0630,2
PJ2576,4
PJ0371,60
PJ0699,28
PC1114,3
PJ0463,2
PJ0288,46
PJ0530,19
PJ1190,9
PJ4020,2
PJ0033,25
PJ2904,15
PC0561,6
PJ0622,54
PJ4286,14
PJ2157,9
PJ0694,49
PJ1473,54
PJ1503,8
PJ6193,4
PJ3623,7
PJ0393,3
PJ4268,4
PJ0383,22
PJ0149,4
PJ5303,6
PJ0994,6
PJ4711,14
PJ0499,17
PJ5132,6
PJ2815,12
PC1157,4
PJ1438,13
PJ1160,44
PJ6220,10
PP0265,9
PJ6826,66
PP0574,48
PJ0249,36
PJ3476,22
PJ4724,13
PJ3469,22
PJ3711,56
PJ5296,32
PJ0232,29
PJ5994,11
PJ3210,23
PJ5662,23
PC1016,7
PJ0517,30
PJ0772,17
PJ2755,47
PJ5131,22
PJ6120,10
PJ3340,4
PJ2111,13
PJ0985,4
PC0304,42
PJ0807,4
PJ3870,30
PC0609,10
PJ1575,2
PJ4628,8
PJ0469,32
PJ3205,11
PJ5590,44
PJ3535,23
PJ4439,21
PJ2533,27
PJ2664,94
PJ3208,12
PJ6670,16
PC0952,2
PJ5943,2
PJ4410,16
PC1281,20
PJ0174,2
PJ5177,3
PJ6103,4
PJ3123,17
PC0665,11
PJ4851,3
PJ6464,6
PJ0407,165
PJ6445,92
PJ5394,9
PJ4317,62
PJ3560,25
PJ7014,119
PJ3322,63
PJ3799,37
PJ7130,15
PJ1790,28
PJ5568,39
PJ1983,13
PJ2605,6
PP0418,4
PC0474,19
PJ0336,9
PJ2279,10
PJ3510,9
PJ3501,7
PJ6537,16
PC1035,10
PJ7127,10
PJ3198,2
PC0123,21
PC1293,17
PP0442,8
PJ0969,22
PJ2180,39
PJ3213,116
PJ6374,12
PJ3477,13
PP0701,20
PJ1350,29
PJ1544,22
PJ7232,23
PJ1733,6
PJ3388,22
PJ2318,7
PJ2169,23
PC1341,6
PJ0326,12
PJ2232,6
PJ2681,28
PJ1513,23
PJ5312,14
PJ4100,3
PJ7093,4
PC1160,53
PJ6127,25
PJ5513,20
PJ0899,11
PJ2287,12
PJ5899,14
PJ0230,24
PJ3723,4
PJ5636,4
PJ3157,13
PJ1092,29
PJ2026,13
PJ0261,29
PJ2206,16
PJ1432,37
PJ0369,10
PJ1466,44
PJ2241,12
PJ3274,28
PJ6396,8
PJ2862,8
PJ3100,11
PJ6433,6
PJ0109,6
PJ6488,6
PC1385,4
PJ3268,17
PJ3446,22
PJ7207,6
PJ6370,6
PJ4949,4
PJ0381,15
PJ0008,6
PJ5595,8
PC1329,75
PJ2752,25
PJ3508,17
PJ4099,21
PJ2713,25
PJ2595,6
PC0212,4
PJ3094,20
PJ4073,24
PJ0344,14
PJ6002,6
PJ0967,14
PJ0809,9
PJ2655,49
PJ6754,9
PJ3420,10
PJ4885,3
PC0752,6
PJ3148,37
PJ1030,4
PJ4651,20
PJ5025,45
PC0945,10
PJ1591,10
PJ2098,59
PJ6834,16
PJ1625,9
PC0494,26
PJ4581,25
PJ6558,23
PJ0672,24
PC0920,4
PJ3624,24
PC0034,8
PJ2678,35
PJ2435,12
PC1258,49
PJ1675,94
PJ4989,18
PJ3432,44
PJ1931,25
PJ4775,6
PJ6201,16
PJ4009,8
PJ2682,18
PJ0399,15
PJ4960,4
PJ1509,14
PJ3914,24
PJ2560,6
PC0913,7
PJ0476,20
PC1268,3
PJ7412,2
PJ2160,12
PJ6347,29
PJ6701,8
PJ3443,7
PJ5047,4
PJ4718,4
PJ3839,2
PC0384,6
PC0844,44
PJ2230,22
PJ1043,30
PJ4621,15
PJ3448,28
PJ4653,39
PJ0633,35
PJ6534,85
PJ0231,20
PJ3597,33
PJ7081,104
PC0037,5
PJ7290,22
PJ1539,12
PJ4281,10
PJ5414,6
PJ2250,5
PJ2424,2
PJ3428,6
PJ4295,4
PJ6642,14
PJ1837,9
PJ6050,12
PJ1489,37
PJ1973,27
PJ2847,80
PJ5341,33
PJ3348,4
PJ5361,20
PJ2391,13
PP0702,4
PJ6596,53
PJ4355,28
PJ0262,7
PJ0854,12
PC0730,6
PC0369,12
PJ5531,5
PP0583,9
PC1170,2
PJ4173,2
PJ0838,8
PJ1982,4
PJ4692,27
PJ3390,42
PJ4889,265
PJ0722,44
PJ2019,6
PJ3062,79
PC0303,88
PJ6359,5
PJ5252,21
PP0585,37
PJ1617,11
PJ6437,25
PJ6068,3
PJ6679,4
PJ4880,33
PJ3608,26
PC1243,8
PJ4336,28
PJ5533,12
PJ0921,20
PJ0076,5
PJ0433,102
PJ2696,10
PJ7137,13
PJ4512,16
PJ3105,5
PJ3036,6
PJ4010,9
PJ3561,15
PJ2712,17
PJ6310,4
PJ3866,2
PC0181,70
PC1203,14
PJ3137,52
PC0486,6
PC0816,4
PJ6864,34
PJ5829,20
PJ2433,13
PJ1626,8
PJ5448,7
PJ1128,2
PJ4447,10
PJ6176,12
PP0349,2
PJ0358,8
PJ1635,3
PJ3221,26
PJ4933,74
PJ3160,14
PJ6719,10
PC1040,10
