Zip_Code,Crimes
64127,9420
64117,2609
64112,1554
64138,2441
64113,937
64156,333
64139,124
64123,3915
99999,96
64145,836
64153,1159
64158,444
64137,2088
64136,368
64154,1363
64124,4309
64131,4719
64105,1506
64102,183
64111,7350
64114,3809
64161,254
64101,264
64110,5329
64126,1831
64128,4540
64106,6195
64155,1906
64151,2632
64152,1203
64104,64
64129,2921
64118,3770
64134,7133
64133,4667
64116,1609
64130,11968
64109,6490
64107,49
64157,920
64132,4773
64125,828
64108,3977
64146,120
64120,844
64147,84
64030,53
0,108
64119,2846
