Age,Crimes
31,1737
85,43
65,244
53,896
78,93
34,57998
81,63
28,2119
76,75
26,2248
27,2125
44,1097
192,1
12,289
91,18
22,2479
93,5
47,1190
1,132
52,1004
13,435
16,1102
86,40
6,115
3,138
40,1483
20,3037
94,1
57,630
54,834
48,1153
5,104
19,2042
92,9
64,288
41,1216
43,1111
15,883
37,1292
61,362
88,35
17,1554
9,142
72,146
35,1609
59,484
55,799
4,146
8,126
39,1329
23,2451
49,1184
7,132
84,46
87,35
51,1040
69,161
63,334
77,97
10,160
50,1202
45,1158
38,1290
82,55
80,81
25,2804
73,140
24,2480
70,145
62,371
29,2207
21,2412
32,1688
60,484
90,14
75,128
56,677
303,1
58,578
33,1505
11,207
83,54
71,135
68,209
14,657
135,1
42,1121
79,67
2,138
30,2380
99,27
66,230
46,1099
67,221
0,137
18,2230
74,93
36,1297
89,30
182,1
96,1
95,8
151,1
170,1
201,2
104,1
209,1
114,1
161,1
98,1
202,1
