Description,Crimes
misc violation,3
Possession/Sale/Dist,4742
Stealing from Buildi,5267
Accidental Drug Over,4
Aggravated Assault (,4584
Stalking,6
Stealing Auto Parts/,10641
Drunkenness,143
Family Disturbance,12
Statutory Rape,89
Liquor Law Violaton,184
Stealing From Auto,10172
Agg Assault - Drive-,566
Sex Offense -others,79
Intimidation,1464
Forcible Sodomy,330
Forged Checks,476
Family Offense,524
False Information to,211
Credit/Debit/ATM Car,961
Failure to Return,45
False ID,9
Attempt Suicide by J,7
Burglary - Non Resid,2368
Prostitution/Patroni,321
Missing/Runaway Juve,9
Attempt Suicide by C,69
Weapons Law Violatio,805
Embezzlement,349
Impersonation - NOT,51
Resisting an Officer,1381
Burglary - Residence,13595
Rape,516
stealing all other,1
Counterfeiting,76
poss equip,2
Arson,746
Misc Violation,7181
Tresspassing,2
Passing Bad Checks,60
Fraud,477
Loitering,48
Property Damage,11535
HOMICIDE/Non Neglige,163
Forgery,631
Agg Assault - Domest,1486
Sex Off Indecent Exp,142
Bomb Threat/Intimida,59
Gambling - Possessio,2
Trespassing,3055
Stealing from Bldg,2
Sex Off Misconduct,86
Suicide By Poison,1
Property Damage6,2
Forcible Fondling,16
Arson with Fire Bomb,15
Welfare Fraud,2
Sex Off Incest,2
Hit and Run of a Per,18
Violation Ex Parte O,259
Promoting Prostituti,38
Auto Theft Outside S,1078
Attempt Suicide by P,15
Wire Fraud,169
Stolen Property OFFE,329
Non Aggravated Assau,6728
Sex Off Fondle - mol,281
Sex Off Follow/Entic,12
Suicide - Domestic V,3
Suicide By Cutting,2
Attempt Suicide by O,40
Stealing Bicycles,178
Dead Body,231
Stealing Shoplifting,5020
Strong Arm Robbery,1533
Stealing Coin Operat,69
non agg,2
Casualty (includes a,21
Stealing other,2
littering,2
Stealing All Other,4863
Driving Under Influe,489
Possession of Drug E,1629
Armed Robbery,4024
Violation Full Order,569
Suicide By Shooting,9
forgery,4
Interference with Cu,98
embezzlement,2
Disorderly Conduct,1901
Non Agg Assault Dome,7324
Auto Theft,6886
Kidnapping/Abduction,119
Pornography,32
Impersonation,1122
Stealing Pickpocket,106
Fraud Confidence Gam,33
Attempt Suicide by H,13
Suicide By Sleeping,23
Curfew,85
Sex Off Indecent Con,103
Aggravated Assault,9
Stealing Purse Snatc,203
Attempt Suicide by S,209
FRAUD,2
misc off,2
Peeping Tom,2
burglary residence,2
Suicide By Hanging,1
Steal from Auto,2
Extortion/Blackmail,2
Animal Bite - Dog,2
Fraud/Confidence Gam,219
WIRE FRAUD,2
Steal TFA,2
ROBBERY ARMED,3
Sexual Assault with,2
Suicide by Other Mea,2
\,2
Stealing ACC,3
fraud,2
Misc. Viol,2
