Rep_Dist,Crimes
PJ4079,87
PJ3195,30
PJ0187,23
PJ6064,65
PJ4069,9
PC0917,8
PJ2881,31
PJ3172,49
PP0285,98
PJ2228,20
PJ1354,30
PJ2711,53
PJ1325,14
PC1361,8
PJ2439,6
PJ5862,27
PJ2001,2
PJ4758,22
PJ5142,47
PJ0892,11
PJ6145,10
PJ3439,21
PJ1121,2
PJ1021,4
PJ4493,17
PJ4056,39
PC0193,2
PC0267,49
PJ4635,43
PJ3725,62
PC0806,19
PJ4035,74
PJ4668,27
PJ2452,8
PJ1744,9
PJ1047,13
PJ6116,6
PJ2072,48
PJ4552,2
PJ1453,16
PJ3563,20
PJ2204,5
PJ1428,12
PJ6266,6
PJ5274,4
PJ1272,2
PC1184,2
PJ4192,8
PC0322,4
PJ0216,10
PJ0346,23
PJ4247,6
PJ5424,24
PJ0198,27
PJ2900,71
PJ1964,19
PC0294,47
PJ4207,134
PJ4246,24
PJ6690,6
PP0514,4
PJ4971,11
PP0646,19
PJ3676,12
PJ1437,18
PJ2856,32
PJ4229,13
PJ1843,15
PJ3435,15
PJ4897,20
PJ1108,21
PJ3847,15
PJ1013,56
PJ2577,81
PP0370,6
PJ6807,14
PJ6190,50
PC0646,14
PJ2743,17
PJ4759,13
PJ1564,5
PJ1865,16
PJ6567,24
PJ4307,21
PJ5125,11
PJ2385,16
PJ3977,2
PJ4244,6
PJ2587,2
PJ3593,29
PJ0068,2
PC0923,10
PJ7109,5
PJ5516,8
PJ5992,10
PJ4952,2
PJ4721,6
PC0153,8
PJ0694,16
PJ0499,32
PJ1473,55
PJ4286,30
PJ0033,30
PJ0530,19
PJ1503,26
PJ0371,33
PJ0288,14
PC0561,8
PJ4007,14
PP0709,8
PJ5132,27
PJ1190,14
PJ5303,14
PP0549,6
PJ0622,50
PJ1679,7
PJ0699,13
PC1157,7
PJ3623,5
PJ2815,18
PJ6480,2
PJ4268,2
PJ2157,7
PJ0383,29
PJ3652,10
PJ5296,32
PJ3870,38
PJ6826,112
PJ3711,23
PJ6220,15
PC0304,35
PJ3408,9
PC1016,22
PJ0517,64
PJ1575,9
PJ2755,27
PJ5994,4
PJ4628,12
PJ2155,9
PJ6685,6
PP0574,18
PJ5662,61
PJ1438,30
PJ1619,17
PJ3476,14
PJ0772,10
PJ1160,18
PP0265,34
PJ0249,17
PJ3469,13
PJ4774,2
PJ2490,6
PJ0232,13
PJ5131,19
PJ3210,16
PJ0807,6
PJ2111,15
PJ6372,7
PC0609,6
PJ0985,13
PJ3340,11
PJ1849,12
PJ3054,10
PJ6670,17
PJ3205,9
PJ5590,44
PJ2664,109
PC1281,13
PJ6103,14
PJ5943,4
PJ2533,51
PJ4410,7
PJ4439,18
PP0708,3
PJ0469,43
PJ0283,11
PJ5177,5
PJ3123,7
PJ2929,12
PJ6464,6
PJ5128,4
PJ5415,8
PJ6537,8
PJ4317,30
PJ6445,110
PJ7014,148
PJ3510,18
PJ1790,9
PJ0679,24
PJ2605,17
PJ3560,12
PJ0407,74
PC0119,2
PJ3799,40
PC0238,2
PJ7130,35
PJ3322,26
PJ0336,13
PJ5568,28
PJ7397,2
PP0418,8
PJ1987,8
PC0474,10
PJ6761,4
PJ2279,9
PJ1002,7
PJ3314,4
PJ5394,4
PC0123,24
PJ7232,20
PC1293,21
PJ1350,50
PP0661,6
PJ4703,15
PJ2180,22
PJ3388,33
PJ2681,10
PJ1513,31
PJ2232,8
PJ2318,10
PJ3477,18
PJ4132,4
PJ7041,26
PJ1733,10
PJ2169,41
PP0701,12
PJ4624,11
PJ6374,5
PJ7093,6
PJ5312,21
PC1341,10
PJ3213,125
PJ0969,21
PJ4707,16
PJ1561,6
PJ0314,14
PJ1793,10
PJ1544,9
PJ0498,14
PJ4400,3
PJ2241,72
PC1103,11
PJ2206,1
PJ3100,8
PJ6433,8
PJ0261,29
PJ1466,54
PJ3274,43
PJ1432,32
PJ3446,40
PJ5513,10
PJ5181,2
PJ2026,17
PJ5636,13
PJ6127,26
PC0500,6
PJ5899,12
PJ0230,34
PJ0008,4
PJ4949,16
PJ0381,25
PJ6370,2
PJ1092,36
PJ2287,20
PJ3157,10
PJ2862,7
PP0160,6
PJ6706,4
PJ3723,4
PJ6396,11
PJ7207,16
PC1160,18
PJ2821,4
PJ3268,8
PJ6488,7
PJ0369,8
PJ5595,12
PJ4148,2
PC1069,6
PJ3148,22
PJ4651,28
PJ4073,56
PJ2655,55
PJ3508,16
PJ2752,32
PC1329,43
PJ2713,36
PJ2595,18
PJ3631,14
PC0752,13
PJ3420,29
PJ6754,6
PJ0809,2
PC0339,5
PJ0344,15
PJ0967,4
PJ3094,27
PJ6198,5
PJ1030,4
PJ4099,27
PJ1282,8
PJ4859,22
PJ4581,20
PJ6558,45
PJ1698,9
PJ3522,36
PC0494,17
PJ0672,33
PC0920,4
PC0034,10
PJ1625,10
PJ2098,19
PJ5795,5
PJ2552,9
PJ3624,17
PJ5025,45
PJ3425,9
PJ0974,5
PJ6347,26
PC0913,10
PJ4775,14
PJ3432,46
PJ0476,14
PC1268,19
PJ2682,7
PJ1675,165
PC1258,24
PJ1509,19
PJ7412,8
PJ0786,4
PJ2435,10
PJ6842,10
PJ2160,14
PC0384,6
PJ2678,9
PJ3895,12
PJ0399,6
PJ5047,3
PJ1931,22
PJ0402,12
PJ4009,17
PJ3914,16
PJ4718,2
PJ3443,13
PJ1195,5
PJ7379,4
PJ1837,10
PJ6534,110
PJ2997,5
PJ7081,128
PJ2399,7
PJ4295,21
PJ6642,8
PJ3448,16
PJ5414,19
PJ1796,4
PC0844,43
PJ0633,66
PJ6050,18
PJ2250,11
PJ0449,4
PJ3597,16
PJ2230,10
PJ1043,25
PJ0231,11
PJ4281,15
PJ3428,6
PJ4621,18
PJ4653,30
PC0037,4
PJ6596,25
PJ0854,16
PJ1489,53
PJ2847,61
PJ5341,61
PJ5361,16
PJ0262,22
PJ6234,8
PJ4692,23
PJ1973,14
PJ0838,10
PP0583,12
PJX006,10
PJ6362,6
PJ1970,22
PJ5531,4
PC0730,4
PJ6675,5
PJ4355,17
PC0369,11
PJ4889,293
PJ3062,86
PJ7137,12
PJ5526,8
PJ6068,4
PJ3171,4
PJ4512,8
PJ4125,20
PC0303,85
PJ3390,30
PJ2712,19
PJ3561,33
PJ4010,10
PJ0433,45
PJ6762,2
PJ2696,8
PJ2027,4
PJ3608,33
PJ4336,13
PJ3036,31
PJ6399,7
PJ1617,29
PJ6437,13
PP0585,37
PJ4880,6
PJ0722,32
PJ3105,14
PJ5533,15
PJ5252,13
PC1243,4
PC0558,4
PJ7359,2
PJ6679,7
PJ3137,71
PJ1635,6
PC0181,52
PJ4677,4
PJ2288,48
PJ6356,4
PJ6864,21
PJ0358,15
PJ5231,24
PJ5829,16
PJ6176,11
PC1203,6
PJ4447,4
PJ6177,21
PC1279,5
PJ2433,15
PJ7004,2
PC0486,8
PJ3221,16
PJ7365,8
PJ1328,21
PJ3533,62
PJ3160,20
PJ4933,49
PC1199,122
PJ1349,18
PC0136,2
PC1040,17
PJ5977,8
PJ6719,17
PJ3462,16
PP0720,4
PJ3667,17
PC1143,2
PJ0349,37
PJ6388,8
PC0937,31
PP0673,2
PJ5400,7
PJ0509,2
PC1204,49
PJ6952,6
PC0813,4
PJ5201,4
PJ6785,173
PC0074,59
PJ4182,44
PJ6731,6
PJ4782,15
PJ3308,23
PJ0668,85
PJ7080,45
PJ5673,17
PJ0910,125
PJ0438,5
PP0704,2
PJ6787,29
PJ0743,10
PJ3857,15
PJ1297,40
PJ1952,4
PJ4357,18
PJ1555,4
PJ5694,4
PJ1100,2
PJ5680,9
PP0689,8
PC0716,20
PJ2028,4
PJ4906,9
PJ2567,18
PJ0682,73
PJ0580,12
PJ2618,6
PJ2448,111
PJ2413,15
PJ1142,12
PJ2514,13
PJ3620,15
PC1179,11
PJ1840,7
PJ2627,2
PJ6088,10
PJ5828,17
PC0667,5
PJ3756,2
PJ5129,6
PC0858,4
PJ2052,12
PC1328,6
PP0711,6
PJ5195,27
PJ7206,11
PJ0822,115
PJ3028,15
PJ3251,14
PJ2893,28
PJ0421,19
PJ5193,8
PJ6100,4
PJ7247,97
PJ5444,24
PC0291,4
PJ4670,19
PJ4681,39
PJ7040,8
PJ3343,22
PJ4521,7
PJ6782,12
PJ0888,64
PJ7067,33
PJ5712,14
PC0951,8
PJ1745,26
PJ6900,24
PJ2123,4
PJ5972,2
PJ1263,12
PC0318,4
PJ1342,12
PJ0983,4
PC1390,22
PJ0353,8
PC0340,131
PJ2828,96
PJ4311,234
PJ1883,61
PJ0945,25
PJ2316,56
PJ7413,6
PJ7458,50
PJ6197,124
PJ2859,34
PJ3903,9
PJ2173,84
PJ1402,33
PJ4772,2
PJ4285,2
PJ6624,27
PJ6465,5
PJ2941,7
PJ0701,6
PP0721,12
PJ7197,10
PC1212,6
PJ0211,4
PJ1743,4
PJ4689,1
PP0447,4
PJ5956,2
PJ1249,5
PJ5333,4
PJ1927,11
PC0734,7
PJ4310,4
PJ3440,32
PC0116,6
PJ5008,61
PJ3671,26
PC0746,10
PJ4041,37
PJ7082,45
PJ7097,47
PJ2767,46
PJ3270,17
PJ1285,21
PJ3320,18
PJ1418,16
PJ1630,33
PJ2951,21
PJ3537,6
PJ5678,13
PJ4745,11
PJ4932,6
PJ3490,13
PJ1254,5
PJ6152,2
