Zip_Code,Crimes
64121,53
64127,9610
64117,2759
64112,1505
64138,2815
64113,779
64156,393
64139,176
64123,4083
99999,105
64145,866
64153,1306
64158,448
64136,320
64137,1716
64154,1266
64124,4533
64131,5433
64105,1969
64102,71
64111,8274
64114,4086
64161,294
64101,229
64110,5798
64126,1910
64128,4688
64106,7804
64155,2105
64151,2665
64152,1121
64104,39
64129,2483
64118,3774
64134,6921
64133,4742
64116,1534
64130,11776
64109,6773
64157,957
64132,4783
64125,753
64108,3994
64115,47
64146,84
64120,1026
64147,134
0,196
64119,2718
