Age,Crimes
31,1865
85,44
65,233
53,903
78,75
34,55192
81,51
28,1862
76,85
26,2194
27,2059
44,1057
12,255
91,18
22,2270
93,9
47,1142
1,113
52,916
13,410
16,879
86,42
6,101
3,126
20,2792
40,1517
57,649
54,844
48,1135
5,105
19,1764
92,6
64,323
41,1132
43,1139
15,804
37,1249
61,407
88,29
17,1226
9,101
72,139
35,1380
4,99
55,712
59,521
8,104
39,1228
23,2258
49,1036
7,104
84,40
87,24
51,1119
69,190
97,5
63,285
10,143
77,89
50,1203
45,1142
38,1137
82,58
80,56
25,2560
73,135
24,2263
70,149
62,349
95,10
29,1881
21,2233
98,3
32,1546
60,493
90,16
75,114
56,717
58,590
33,1582
11,187
83,44
68,212
71,142
14,564
42,1088
79,63
2,129
30,2263
99,20
66,205
46,1039
67,212
0,126
18,1986
74,108
36,1340
89,24
94,4
96,3
171,2
203,1
151,1
201,1
253,1
