Description,Crimes
Possession/Sale/Dist,3815
Stealing from Buildi,5529
Accidental Drug Over,3
Aggravated Assault (,4569
Stealing Auto Parts/,7112
Drunkenness,99
Liquor Law Violaton,197
Statutory Rape,90
Stealing From Auto,9336
Agg Assault - Drive-,554
Sex Offense -others,75
Intimidation,1129
Forcible Sodomy,387
Attempt Suicide by D,2
Family Offense,519
False Information to,199
Forged Checks,473
Credit/Debit/ATM Car,1123
Failure to Return,46
stealing shoplifting,2
Attempt Suicide by J,8
Burglary - Non Resid,2232
Attempt Suicide by C,72
Prostitution/Patroni,271
Weapons Law Violatio,720
Peeping Tom,8
Embezzlement,328
IDTheft,2
Impersonation - NOT,28
Resisting an Officer,1230
Burglary - Residence,12191
child molistation,2
Rape,607
stealing acc,2
Counterfeiting,68
Misc Violation,6785
Arson,599
Passing Bad Checks,32
Loitering,20
Property Damage,10856
HOMICIDE/Non Neglige,137
Bomb Threat/Intimida,54
Forgery,655
Agg Assault - Domest,1276
Sex Off Indecent Exp,116
Trespassing,3259
Sex Off Misconduct,82
Hindering,2
Arson with Fire Bomb,20
Forcible Fondling,4
Hit and Run of a Per,12
agg assault,2
peace disturbance,2
Fraud/Confidence Gam,741
Violation Ex Parte O,199
Promoting Prostituti,31
Auto Theft Outside S,789
resisting officer,2
Attempt Suicide by P,9
Wire Fraud,377
Suicide By Gas,1
Stolen Property OFFE,321
Non Aggravated Assau,6469
Sex Off Follow/Entic,19
Sex Off Fondle - mol,238
Attempt Suicide by O,37
Stealing Bicycles,160
Dead Body,224
Strong Arm Robbery,1773
Stealing Shoplifting,5741
Stealing Coin Operat,77
Casualty (includes a,12
Stealing All Other,5549
Driving Under Influe,1461
Justifiable Homicide,5
Possession of Drug E,1390
Attempt Suicide by G,2
Armed Robbery,3553
Violation Full Order,513
Suicide By Shooting,2
Interference with Cu,109
Disorderly Conduct,1481
Harrassment/threats,2
Non Agg Assault Dome,7188
Auto Theft,7009
Kidnapping/Abduction,84
Pornography,29
Non Agg Assault,2
Impersonation,1316
Stealing Pickpocket,138
Fraud Confidence Gam,31
Suicide By Sleeping,17
Attempt Suicide by H,14
Curfew,57
Sex Off Indecent Con,87
Stealing Purse Snatc,176
Attempt Suicide by S,164
Stalking,5
Family Disturbance,4
Missing/Runaway Juve,5
Suicide By Hanging,2
Extortion/Blackmail,4
Sex Off Incest,2
Suicide By Cutting,1
Suicide by Other Mea,4
Negligent Manslaught,2
Strong Arm RoBBERY,2
Littering,2
4,2
fraud,2
Sexual Assault with,2
armed robbery,4
Defrauding an Innkee,2
False ID,4
Stolen Idenity,2
stealing all other,6
c,2
wire fraud,2
