Rep_Dist,Crimes
PP0285,129
PJ5142,50
PJ3172,54
PJ6064,57
PJ2228,11
PJ4758,20
PJ1354,58
PJ2711,50
PJ2881,25
PJ1325,31
PJ3195,17
PJ4079,81
PC1361,6
PJ0892,18
PJ3086,11
PJ3439,13
PJ5862,14
PJ0187,24
PJ2439,8
PJ2129,15
PJ4069,10
PC0427,4
PJ6116,5
PC0806,40
PJ2622,10
PJ4635,51
PJ1047,15
PJ3725,57
PC0267,35
PJ3563,21
PJ2072,34
PJ4056,23
PJ4035,48
PJ1744,6
PJ4668,29
PJ7212,4
PJ3063,2
PC0193,4
PJ5274,8
PJ1428,15
PJ5523,2
PJ4207,144
PJ6585,10
PC0294,57
PJ4897,31
PJ1964,41
PJ3435,6
PJ1108,33
PJ3861,4
PJ3847,18
PJ5424,8
PJ6690,12
PJ6247,3
PJ4229,9
PJ4246,12
PP0646,4
PJ1843,21
PJ4815,7
PJ3676,7
PJ2900,38
PJ0198,4
PJ2135,15
PJ0346,4
PJ0216,4
PJ0172,7
PJ6035,2
PJ1865,13
PJ0062,16
PJ2577,98
PJ0152,4
PJ2587,6
PJ4759,19
PJ5516,25
PJ6190,49
PC0879,4
PJ4307,8
PJ5125,17
PJ1013,44
PJ4693,2
PJ6775,2
PJ2743,10
PJ3593,6
PJ1564,3
PJ4832,12
PJ2095,3
PJ6807,8
PP0688,8
PJ0240,10
PJ4208,4
PP0533,2
PJ5474,4
PJ4583,4
PC0153,2
PJ4007,21
PJ0288,35
PJ0149,9
PC0152,4
PJ0371,43
PJ5132,20
PJ0622,77
PJ1473,60
PJ0499,13
PJ5303,24
PJ6193,6
PC1114,12
PJ1679,9
PJ0530,21
PJ0383,16
PJ0694,18
PJ0699,6
PJ2815,13
PJ0033,45
PJ1190,7
PJ3652,29
PP0709,10
PJ0179,5
PJ2904,11
PC0561,8
PJ2157,6
PC1157,5
PJ0517,95
PJ5662,100
PJ4628,10
PJ0249,20
PJ5296,27
PJ5131,14
PC1016,10
PC0304,26
PJ2755,48
PJ6826,24
PJ3210,6
PC0609,22
PJ3476,4
PJ0985,11
PJ3870,15
PJ6220,22
PJ2111,18
PJ4724,27
PJ1849,16
PJ3340,13
PJ6372,4
PJ0807,6
PP0574,9
PJ1575,7
PJ3711,19
PJ2490,5
PJ3408,4
PJ0232,8
PJ6120,10
PJ3744,6
PP0265,9
PJ1160,22
PC0952,2
PJ2929,10
PJ2533,34
PJ0283,42
PJ5590,49
PJ3054,20
PJ2664,54
PJ4439,35
PJ7106,2
PJ3208,10
PJ4410,21
PJ3123,8
PJ0469,35
PC1349,26
PJ3535,12
PJ4851,2
PJ6464,3
PC0665,8
PJ3205,4
PC0245,2
PC1376,2
PC1209,4
PJ6103,6
PJ7014,172
PJ7130,22
PJ7127,3
PJ0679,30
PJ3510,14
PJ3560,19
PJ6249,2
PJ6445,94
PJ2279,20
PJ6761,9
PJ0336,20
PJ0407,90
PJ4317,78
PJ3799,20
PJ6537,6
PC0474,8
PJ3322,26
PJ2605,25
PJ5568,15
PJ1790,22
PJ1002,8
PC0238,4
PJ1987,24
PJ3501,16
PJ5394,15
PC0123,6
PJ2169,51
PJ3388,11
PP0701,13
PJ0326,38
PJ1513,22
PJ4707,25
PJ0969,34
PJ7232,16
PJ3213,143
PJ1350,29
PJ7093,13
PJ2681,27
PJ1561,13
PC1293,10
PJ0498,9
PJ7041,16
PJ1339,7
PJ1544,17
PJ0314,18
PJ1733,10
PJ2180,28
PJ5312,23
PJ2318,5
PJ3477,6
PJ1466,52
PJ6396,6
PJ2241,73
PJ3446,54
PJ0230,29
PJ2287,50
PJ5595,8
PJ6706,2
PJ1092,23
PJ3274,30
PJ5513,20
PC1160,18
PJ3100,22
PJ6127,21
PJ5636,12
PJ5944,2
PJ0381,10
PJ3157,8
PJ3723,8
PJ0261,32
PC1103,4
PJ7207,11
PJ3268,14
PJ2206,6
PJ0899,12
PJ0008,2
PJ6433,6
PJ1030,6
PJ4073,43
PJ4099,19
PC0435,2
PJ6754,14
PJ0967,5
PJ3420,24
PC1329,67
PJ3094,24
PJ4651,28
PJ0344,32
PJ6002,9
PJ3508,16
PJ2655,84
PJ6053,2
PJ0809,4
PJ2713,7
PJ2595,5
PJ2752,38
PC0339,5
PJ3148,12
PJ7272,2
PC0034,20
PC0494,18
PJ2098,37
PJ4581,30
PJ3522,25
PJ1282,3
PJ5025,42
PJ3624,8
PJ1625,9
PJ6558,40
PJ0672,25
PJ3425,6
PJ1591,25
PJ5795,5
PJ6834,2
PJ1457,2
PJ4969,2
PC1258,40
PJ1931,18
PJ0476,19
PJ3432,41
PJ4009,9
PJ0399,19
PJ1675,73
PJ7379,2
PJ2678,15
PJ4775,10
PJ2682,12
PJ6347,24
PJ2435,13
PJ3839,73
PJ3895,4
PJ6201,14
PC0913,12
PJ3914,21
PC1268,23
PJ4718,7
PJ2560,12
PJ6842,2
PJ4960,11
PJ4386,2
PJ2160,10
PC0384,2
PJ6701,3
PJ0402,2
PP0694,8
PJ4295,10
PJ5414,16
PJ3448,33
PC0844,40
PJ0633,55
PJ4281,9
PJ7081,119
PJ3597,13
PJ1043,46
PJ6534,66
PJ6050,19
PJ6642,16
PJ4621,6
PJ1837,17
PJ2399,21
PJ2230,8
PC0037,2
PJ4653,32
PJ5341,93
PC0730,4
PJ1970,9
PJ1489,36
PJ4692,25
PJ6596,27
PJ1973,25
PJ0091,4
PJ0854,4
PJ0262,20
PC0369,14
PJ2847,11
PJ5361,24
PP0583,21
PJ0838,3
PJ2710,2
PJ4355,8
PJ3348,8
PJ6234,2
PC0303,97
PJ4889,229
PJ6762,2
PP0585,27
PJ3062,91
PJ6437,26
PC0061,6
PJ5526,4
PJ3105,15
PJ3036,28
PJ3608,62
PJ0433,44
PJ7137,6
PJ0722,43
PJ4880,5
PC1243,2
PJ4125,15
PP0261,4
PJ6310,4
PJ0921,24
PJ1482,8
PC0090,14
PJ1617,18
PJ5809,1
PJ5252,16
PJ4512,13
PJ4336,12
PJ2027,6
PJ2696,11
PJ5533,10
PJ6679,15
PJ2019,7
PJ3137,53
PJ3221,18
PJ1626,23
PC0181,33
PJ0358,9
PJ2288,71
PJ2433,9
PC1203,4
PJ5829,19
PJ5448,14
PJ5227,2
PJ6176,12
PJ4619,2
PJ6251,7
PC1199,147
PJ1328,17
PJ4933,61
PJ6719,10
PJ3533,28
PJ6388,12
PJ5201,5
PC1040,26
PJ3667,15
PJ0509,4
PJ3160,9
PC1204,32
PJ1349,12
PJ7365,2
PJ0349,27
PC0136,7
PC1144,6
PJ3462,15
PC0937,8
PC1143,5
PJ2707,8
PJ6952,2
PJ4782,24
PJ2028,8
PJ4182,60
PJ1100,26
PJ6785,159
PP0704,27
PJ0910,127
PC0074,17
PJ1807,17
PJ3308,33
PP0689,26
PJ0668,135
PJ6787,8
PC0716,16
PJ7080,51
PJ5694,10
PJ1297,16
PJ1103,12
PJ4319,11
PJ5680,11
PJ4357,25
PJ5673,6
PJ0438,4
PC1195,4
PJ3857,21
PJ6731,8
PJ1664,4
PJ1555,4
PJ2448,173
PJ4095,10
PJ6694,6
PJ4240,6
PJ5129,9
PJ5195,29
PJ0682,39
PJ5828,7
PJ0580,9
PJ3620,17
PC1328,17
PJ3756,12
PJ2413,29
PJ0542,6
PJ2052,6
PJ5017,5
PJ6774,4
PP0711,17
PJ0681,15
PJ3297,1
PC0858,2
PC1179,21
PJ0888,42
PJ4837,2
PJ7040,4
PJ3343,12
PC1390,17
PJ0822,95
PJ0353,17
PJ7247,93
PJ4670,9
PJ1745,11
PJ2123,20
PJ7067,35
PJ0421,13
PJ5095,6
PJ5972,2
PJ4681,26
PJ3028,11
PJ1342,14
PJ4211,2
PJ5193,28
PJ7229,4
PJ5048,2
PJ5444,10
PJ5712,4
PC0318,8
PJ6900,17
PJ2893,16
PJ3251,4
PJ3350,32
PJ4311,184
PJ1883,58
PJ2316,45
PJ5446,23
PC0340,96
PJ2828,53
PJ6465,8
PJ2173,47
PJ6624,31
PJ1743,7
PJ1802,16
PJ3903,9
PJ0701,4
PJ1927,14
PJ1402,31
PJ6197,83
PJ5333,8
PJ0945,11
PJ7458,20
PJ2859,16
PJ7197,12
PJ5956,6
PJ1521,3
PP0721,11
PJ7413,9
PJ5232,16
PJ3953,4
PJ2951,14
PJ4041,19
PJ5008,50
PJ7097,70
PJ3671,18
PJ1285,27
PJ3440,8
PJ3270,18
PJ2767,24
PJ1630,30
PJ7082,33
PJ1418,8
PJ3490,8
PJ4932,4
PJ3140,9
PJ5900,7
PC0905,6
PC0746,8
PJ5736,2
PJ4745,9
PJ5748,2
PJ7420,5
PC0323,113
PJ2294,211
PJ6229,55
PJ1691,8
PJ4138,21
PJ2107,24
PJ0296,19
PJ4734,134
PJ2963,12
PJ4359,34
PJ4022,13
PJ3666,20
PJ6321,32
PC0576,2
PJ6000,13
PJ0790,22
PC1063,24
PJ2766,27
PJ2469,12
PP0697,13
PJ3304,10
PJ4403,5
PJ6398,13
PJ5462,7
PP0495,1
PJ2980,8
PJ3978,12
PJ0741,4
PJ4722,16
PJ3141,88
PJ3959,13
PJ2537,79
PJ6659,88
PJ2688,22
PJ2665,4
PJ5606,2
PJ0247,4
PJ2632,58
PJ3980,10
PJ3650,20
PJ4726,2
PJ2106,48
PJ4510,22
PJ3548,32
PJ4200,4
PC0423,6
PJ6638,6
PC1012,4
PJ3201,21
PP0284,25
PC1091,8
PJ3586,23
PJ6451,37
PJ1699,115
PC0589,78
PJ2689,4
PJ2274,23
PJ0297,41
PJ1167,18
PJ4085,23
PC0143,4
PP0592,4
PJ1632,14
PJ5632,2
PJ3402,8
PJ2506,8
PJ4777,8
PJ3910,4
PC0045,2
PJ3290,25
PJ1692,2
PP0477,2
PJ5215,1
PJ3619,14
PJ6336,164
PJ0535,37
PJ0534,125
PJ4640,14
PJ1937,14
PJ1467,51
PJ5248,27
PJ0684,97
PJ5494,17
PJ2546,38
PJ6721,12
PJ6838,8
PP0571,13
PC1206,6
PJ6078,63
PJ6407,2
PC0547,5
PJ4509,29
PP0353,10
PC0554,11
PC0088,2
PJ2674,5
PC0590,10
PJ5889,12
PC0391,14
PC0415,10
PJ1737,2
PJ7368,4
PJ2687,1
PJ3381,14
PJ5030,8
PJ6395,6
PC1107,6
PJ1801,17
PP0385,3
PJ5592,35
PJ0723,23
PJ1530,16
PJ0777,17
PJ5093,19
PJ6191,68
PJ6733,4
PJCX01,37
PJ4232,39
PJ5507,4
PJ1750,5
PC0978,31
PJ5882,2
PP0457,11
PC0004,5
PJ1582,18
PJ0966,10
PJ2341,8
PJ5846,2
PJ3261,26
PJ2403,7
PJ0545,20
PJ5478,20
PJ2889,15
PC1134,6
PJ6907,20
PJ0846,15
PJ3755,6
PJ5759,2
PJ2809,13
PJ6578,11
PJ2990,39
PJ4618,31
PJ2434,54
PJ3485,81
PJ3317,20
PJ0027,16
PJ1436,25
PJ4130,10
PJ0836,26
PJ2485,81
PJ4965,6
PJ5133,4
PJ7181,18
PJ5950,12
PJ4151,26
PJ5863,15
PJ3818,8
PJ7171,13
PJ4106,25
PJ4603,12
PJ2276,2
PJ6513,3
PC0976,16
PJ6052,6
PJ1392,6
PJ5007,4
PJ3527,21
PC1027,18
PC0961,12
PJ5019,11
PJ3358,6
PJ2458,12
PJ0292,17
PJ3410,39
PJ7191,11
PJ6317,13
PJ7026,81
PJ1985,31
PJ1302,13
PJ2998,25
PJ7271,9
PJ0366,31
PJ0443,27
PJ6284,22
PJ6255,23
PJ3076,16
PJ3482,16
PJ2355,14
PJ6877,18
PCX045,27
PJ4846,4
PJ0649,25
PC1255,9
PJ3788,2
PJ2103,2
PJ1601,16
PJ3179,11
PJ4334,11
PJ2159,5
PJ6545,14
PJ6501,20
PJ1430,32
PC0457,4
PJ6938,2
PJ1147,17
PJ1560,5
PJ0917,12
PJ2216,18
PC0133,10
PJ0832,2
PJ1687,5
PJ0819,17
PJ7363,1
PJ7177,27
PJ7142,13
PJ6487,1
PJ4271,4
PJ6160,160
PC0640,10
PJ4568,78
PJ1433,9
PJ0648,10
PC0493,2
PJ1721,22
PJ0335,6
PJ7300,10
PC0922,2
PJ3242,12
PC0296,6
PJ0328,30
PC0049,5
PC0634,6
PJ5372,8
PJ2371,14
PP0407,3
PJ0084,12
PJ5067,1
PJ3853,2
PJ1085,3
PJ1174,14
PJ2267,9
PC1221,92
PJ1037,8
PP0665,128
PJ3792,302
PJ7104,32
PJ6509,9
PJ2175,6
PJ2148,40
PC0582,8
PJ0064,56
PJ2387,6
PP0444,1
PC0888,12
PJ4560,2
PC1248,6
PJ3375,8
PJ0201,5
PC1177,8
PJ2023,16
PJ6646,2
PJ3142,5
PJ1572,9
PJ2034,18
PJ7289,8
PC1182,4
PJ3552,29
PJ6207,2
PJ2037,13
PJ4748,33
PJ3509,4
PJ0103,14
PC0255,12
PJ3673,3
PJ0661,57
PJ0586,15
PP0710,8
PC0044,19
PC0186,21
PJ0800,5
PJ1500,7
PJ2390,21
PJ1321,3
PJ0845,10
PJ1633,2
PJ3575,8
PC0983,2
PJ1688,2
PJ0810,16
PJ2582,7
PC0599,238
PJ2610,148
PJ1841,2
PJ5041,3
PC0189,25
PC1273,9
PJ0912,22
PJ1951,28
PJ1525,20
PJ4424,16
PJ1293,4
PJ3405,11
PJ1634,16
PJ0884,14
PJ2791,8
PJ2347,8
PJ3850,8
PJ0759,2
PJ5542,8
PJ6870,16
PJ1638,8
PJ7205,7
PJ7099,4
PC0169,7
PJ6305,2
PJ2840,22
PJ4870,44
PJ1089,143
PJ2456,6
PC1140,140
PJ4288,28
PJ0578,56
PJ4261,4
PJ2896,48
PJ6899,5
PJ3077,21
PJ6375,17
PJ5205,37
PJ3529,67
PJ1683,19
PJ2878,14
PJ2471,18
PJ2210,2
PJ3190,43
PJ5203,22
PJ5117,14
PJ4507,19
PC0597,4
PC0890,11
PJ1540,5
PJ7302,19
PJ7311,8
PJ7280,11
PJ6095,7
PJ2523,20
PJ6499,4
PJ5697,2
PJ2957,21
PJ1020,46
PC1070,8
PJ6812,2
PJ1980,37
PC1185,42
PCX001,5
PJ4808,18
PC0857,9
PJ4998,5
PJ3450,5
PJ4029,41
PJ0529,15
PJ5335,4
PJ2197,27
PJ5752,11
PJ6358,4
PC0355,14
PP0293,31
PC1077,17
PJ2965,21
PJ3921,7
PJ2744,9
PJ0550,13
PJ5927,2
PJ2888,20
PJ3415,8
PJ2649,16
PJ3721,12
PJ2978,77
PJ6139,4
PJ5743,2
PJ0387,12
PJ3556,30
PJ4848,2
PP0595,15
PJ5807,16
PJ7202,29
PJ1549,8
PJ1221,5
PJ2305,2
PJ2541,111
PC1128,144
PJ5421,23
PC1343,92
PJ1777,7
PJ6776,39
PJ6683,102
PJ1310,48
PJ6330,4
PJ6540,4
PJ2229,12
PJ0627,8
PC1251,6
PJ4752,6
PJ2994,2
PJ1231,16
PJ3422,20
PJ3331,21
PJ3280,27
PJ2802,23
PJ5278,6
PJ7192,16
PJ3283,28
PC0376,4
PJ3598,5
PJ0935,12
PJ7423,3
PJ2695,16
PJ4080,7
PJ5686,2
PJ2454,17
PJ6837,89
PJ3642,116
PJ3661,11
PP0392,17
PJ2928,26
PJ2790,12
PJ0251,24
PJ2109,29
PJ6138,8
PJ3156,6
PJ0758,4
PC0575,3
PJ5756,14
PJ3833,14
PJ5363,5
PJ4460,9
PJ7064,10
PC1270,25
PJ3605,12
PJ2984,23
PJ5914,10
PC0900,14
PJ5317,6
PJ2251,8
PP0643,45
PJ0447,4
PJ7305,4
PJ5892,6
PC0602,75
PJ2382,8
PJ4586,83
PJ2038,24
PJ3015,9
PJ5621,12
PJ5365,40
PJ2208,13
PJ1488,7
PJ5987,9
PJ2761,110
PC0400,40
PJ4093,27
PC1168,16
PJ0294,72
PP0607,4
PJ3361,20
PJ4370,18
PJ2220,8
PJ3372,23
PC0754,3
PJ5999,67
PJ0289,29
PJ1215,2
PJ3512,8
PC1162,44
PJ0425,14
PJ5432,16
PJ0041,11
PJ0820,7
PJ6635,26
PJ6060,30
PJ0861,62
PJ5855,40
PJ2163,28
PJ3303,126
PJ0698,12
PJ6962,24
PJ5387,17
PJ1414,66
PJ3095,52
PP0425,10
PC0308,5
PC1037,4
PJ1742,6
PJ2310,10
PJ4040,14
PJ2875,70
PC0544,2
PJ3150,17
PJ4413,15
PJ5106,6
PJ3103,10
PJ2515,8
PJ6297,16
PJ0318,6
PJ4094,22
PJ5973,6
PJ6926,19
PJ2353,11
PJ0796,21
PJ1178,8
PJ3594,30
PJ6074,9
PJ2193,41
PC0036,2
PJ0922,20
PJ1580,4
PJ2745,22
PC1235,15
PP0257,11
PJ7209,4
PJ3997,14
PJ3795,8
PJ6821,2
PJ1364,20
PJ5034,4
PJ4497,10
PJ2925,34
PJ5032,4
PC0387,227
PJ6623,49
PJ0883,23
PJ7122,15
PC1119,19
PJ2736,57
PJ3006,4
PJ5974,4
PJ5794,12
PJ0928,23
PJ4667,2
PJ6185,40
PJ2337,9
PJ4337,4
PJ2352,14
PJ6573,4
PJ1106,35
PJ1075,10
PJ4791,4
PJ2213,9
PJ1129,13
PJ3396,23
PJ4895,6
PJ3665,10
PJ2247,40
PJ2102,26
PJ2179,12
PJ2623,32
PJ1336,11
PJ3371,34
PJ3840,53
PJ1627,5
PJ0309,14
PJ3369,30
PJ5450,19
PJ1337,50
PJ4352,11
PJ6771,23
PJ3341,13
PC1356,92
PJ3698,13
PJ5367,6
PJ7079,26
PJ1105,23
PJ2312,11
PJ5037,4
PJ1446,2
PP0367,4
PJ1957,4
PJ5380,13
PJ0514,4
PJ6382,3
PJ5354,13
PJ6958,5
PJ3655,11
PC1065,17
PJ2621,47
PJ2763,27
PJ6239,17
PJ2470,9
PJ4732,22
PJ5613,18
PJ4335,16
PJ4374,4
PJ6243,17
PJ5600,10
PJ7019,26
PJ2291,14
PJ1367,14
PJ6029,25
PJ3115,9
PJ4049,16
PC0758,4
PJ6942,4
PJ5406,6
PJ1259,10
PJ2793,26
PJ4872,47
PJ4504,12
PP0684,17
PJ7431,40
PJ1404,39
PP0528,14
PJ5865,28
PP0544,4
PJ1516,14
PJ5640,15
PJ2918,6
PJ5847,6
PJ4117,7
PJ1444,7
PP0713,6
PJ0339,13
PJ4245,6
PJ1506,8
PJ2731,22
PJ7402,2
PJ0714,3
PC0875,4
PJ4982,8
PJ1041,4
PJ6687,8
PJ1165,2
PJ0101,18
PJ2527,30
PJ2762,111
PJ2194,37
PJ2936,33
PJ7094,20
PJ2834,32
PJ3110,16
PC0878,8
PJ2063,4
PJ2067,10
PJ6986,21
PJ5571,11
PJ6512,5
PJ2317,25
PJ0204,21
PJ5805,4
PJ1782,14
PJ0744,19
PC0418,10
PJ0781,25
PJ4924,11
PJ3102,10
PJ4419,29
PJ1250,16
PJ4104,12
PJ3885,2
PJ2764,17
PJ3892,38
PJ6948,12
PJ0009,6
PJ2717,8
PJ4384,28
PJ2096,9
PJ4141,4
PJ3663,4
PJ1102,28
PJ3431,19
PJ6452,9
PJ1073,24
PJ2075,32
PJ1059,5
PJ5356,2
PJ7071,6
PJ6677,12
PJ1936,2
PJ0429,8
PJ3585,4
PJ5338,4
PJ3436,16
PJ6376,136
PJ3705,16
PP0237,18
PJ5710,26
PP0660,22
PJ1064,10
PJ0569,121
PJ5175,8
PJ4142,20
PJ2170,38
PJ2377,21
PJ2481,14
PJ3677,33
PJ0811,42
PJ4012,16
PJ2468,9
PJ1741,5
PJ0278,12
PP0236,2
PP0230,3
PC0313,4
PJ6173,28
PJ3445,11
PJ2351,12
PJ4089,67
