Zip_Code,Crimes
64121,191
64127,9537
64117,2415
64112,1274
64138,2278
64113,928
64156,278
64139,148
64123,3629
99999,144
64145,667
64153,1153
64158,494
64137,1480
64136,264
64154,1406
64124,5031
64131,4842
64105,1924
64102,112
64111,7746
64114,3531
64161,289
64101,218
64110,4462
64126,1962
64128,4355
64106,7551
64155,1871
64151,2383
64152,874
64104,56
64129,2460
64118,3325
64134,6952
64133,4748
64116,1543
64130,11286
64109,5595
64157,1037
64132,4774
64125,1145
64108,4025
64146,215
64115,48
64120,1070
64147,130
0,72
64119,2683
