Age,Crimes
31,1855
85,41
65,246
53,914
78,87
34,55669
81,56
28,2002
76,82
27,2184
26,2179
44,1068
12,315
91,5
22,2349
93,7
47,1013
1,146
52,973
13,482
16,993
6,149
86,25
3,152
20,2812
40,1520
94,6
57,612
54,877
48,1056
5,142
19,1900
92,8
64,292
41,1213
43,1083
15,870
37,1245
61,412
88,24
202,1
17,1171
9,125
72,112
35,1497
59,546
55,782
4,122
8,133
39,1116
23,2302
49,1160
7,117
84,30
87,24
51,1037
69,192
97,5
63,362
10,159
77,74
50,1148
45,1105
38,1177
82,68
181,2
80,54
25,2628
73,94
24,2269
70,170
62,377
95,5
29,1835
21,2148
98,1
60,442
32,1759
90,21
75,99
141,3
56,741
105,1
58,663
33,1589
11,195
83,33
68,196
71,144
14,657
42,1191
2,121
79,74
131,1
30,2321
99,48
184,1
66,175
46,1018
67,192
0,161
18,1954
74,121
36,1298
89,23
191,1
505,1
182,2
96,2
102,1
201,1
153,1
