Description,Crimes
stealing from auto,2
Possession/Sale/Dist,3353
Stealing from Buildi,6068
Aggravated Assault (,4947
Stalking,6
Stealing Auto Parts/,5971
Drunkenness,93
Family Disturbance,7
Statutory Rape,62
Liquor Law Violaton,276
Stealing From Auto,9418
Agg Assault - Drive-,499
Sex Offense -others,95
Intimidation,1039
Forcible Sodomy,430
Forged Checks,399
Family Offense,454
False Information to,153
Credit/Debit/ATM Car,981
Sexual Assault with,5
Failure to Return,77
False ID,8
Attempt Suicide by J,5
Burglary - Non Resid,2643
Attempt Suicide by C,77
Prostitution/Patroni,287
Weapons Law Violatio,620
Embezzlement,342
Impersonation - NOT,32
Resisting an Officer,1142
Burglary - Residence,12754
Rape,562
Counterfeiting,75
Arson,557
Misc Violation,6917
Passing Bad Checks,87
property damage,3
Suicide By Hanging,3
Loitering,23
Property Damage,10976
HOMICIDE/Non Neglige,144
Forgery,581
Agg Assault - Domest,1399
Bomb Threat/Intimida,59
Sex Off Indecent Exp,86
Trespassing,2623
Sex Off Misconduct,150
Forcible Fondling,16
Arson with Fire Bomb,26
Welfare Fraud,2
Fraud/Confidence Gam,1208
Violation Ex Parte O,256
Promoting Prostituti,44
Auto Theft Outside S,761
Attempt Suicide by P,11
Wire Fraud,567
Stolen Property OFFE,280
Non Aggravated Assau,7064
Sex Off Fondle - mol,291
Sex Off Follow/Entic,21
Attempt Suicide by O,30
Stealing Bicycles,221
Dead Body,170
Strong Arm Robbery,1830
Stealing Shoplifting,6221
Stealing Coin Operat,100
Casualty (includes a,19
Stealing All Other,5322
Driving Under Influe,1476
ENDANGER THE WELFARE,5
stolen identity,2
Possession of Drug E,1218
stolen auto,2
Armed Robbery,3496
Violation Full Order,590
DISORDERLY CONDUCT,2
Suicide By Shooting,7
Interference with Cu,37
Disorderly Conduct,1543
Non Agg Assault Dome,7860
trespsssing,3
Auto Theft,7346
Kidnapping/Abduction,101
Pornography,16
Impersonation,990
Stealing Pickpocket,186
Fraud Confidence Gam,2
Harassment,2
Suicide By Sleeping,21
Attempt Suicide by H,22
Curfew,91
Sex Off Indecent Con,121
Stealing Purse Snatc,159
Attempt Suicide by S,158
misc violation,4
Felony Eluding,1
credit/debit/atm car,2
Peeping Tom,3
Animal Bite - Dog,1
Sex Off Incest,3
sexual assault,2
Hit and Run of a Per,10
Suicide by Other Mea,2
c,2
Attempt Suicide by G,3
fraud,2
child endangerment,6
intimidation,2
Obstruction,2
Extortion/Blackmail,2
Steal bldg,2
Suicide By Cutting,2
fraud/confidence gam,2
Negligent Manslaught,1
Non Agg Assault,2
Accidental Drug Over,1
