Rep_Dist,Crimes
PJ1325,40
PJ4069,23
PP0285,186
PJ1354,55
PJ6064,62
PJ4079,119
PJ2129,12
PJ3086,7
PJ4493,17
PJ2711,17
PJ0892,22
PJ2439,28
PC1361,11
PJ5142,34
PJ2228,12
PJ4758,12
PJ3195,11
PJ1021,9
PJ2881,10
PC0427,2
PJ5862,11
PJ3439,5
PJ3172,50
PJ1121,2
PC0056,6
PC0267,46
PJ1047,4
PJ3725,43
PJ2452,9
PJ4035,46
PC0806,17
PJ4056,26
PC0193,5
PC0322,4
PJ6266,4
PJ4635,30
PJ3563,22
PJ2072,43
PP0362,4
PJ1272,2
PJ1428,23
PJ4668,45
PJ6116,8
PJ1744,10
PJ7212,2
PJ5389,2
PJ4207,46
PJ4897,6
PC0294,87
PJ0216,8
PJ3676,15
PJ1843,12
PJ1964,13
PJ4246,25
PJ2856,36
PJ3847,38
PJ2900,54
PJ1108,12
PJ6247,2
PJ6690,6
PP0646,10
PJ0198,25
PJ0172,4
PJ4229,2
PJ7144,5
PJ0346,37
PJ4971,10
PJ1437,10
PJ5424,9
PJ3435,12
PJ1013,58
PJ4307,10
PJ2385,9
PJ2577,50
PJ6190,37
PJ2743,12
PJ5125,22
PJ6807,5
PJ0240,11
PC0879,6
PJ6775,2
PJ2587,7
PJ1564,6
PJ6567,6
PP0688,2
PJ1865,5
PJ3877,2
PJ5474,6
PJ0062,2
PJ4208,9
PJ4832,18
PJ5992,13
PC0646,4
PJ4583,4
PJ4244,10
PJ5516,8
PJ4721,15
PJ0288,15
PJ1473,62
PJ0179,8
PJ1190,13
PJ3652,20
PJ2904,21
PC0141,9
PJ0033,33
PJ6193,4
PJ0694,28
PJ4286,17
PJ0622,72
PJ4315,2
PJ1503,9
PJ0699,13
PJ4007,16
PC0561,2
PC1157,6
PJ0149,16
PJ0530,17
PP0438,4
PJ5132,21
PJ2815,10
PJ0994,8
PJ0371,24
PJ2157,15
PJ5303,11
PJ1679,7
PJ4020,4
PJ4628,23
PJ3476,12
PJ5662,94
PJ6372,6
PJ1160,19
PJ4724,34
PJ3210,22
PJ5296,28
PC0304,25
PJ2155,8
PJ1619,13
PP0265,39
PJ4774,4
PJ0517,85
PJ2755,69
PJ3711,40
PJ0772,6
PJ2111,12
PJ1438,14
PJ6685,7
PJ1849,6
PJ3870,26
PP0574,28
PJ0232,11
PJ0249,25
PJ6826,30
PJ5994,17
PC0609,6
PJ3340,10
PJ5131,12
PJ3469,17
PJ6120,7
PJ6242,5
PJ6103,15
PJ3535,14
PJ3054,15
PJ2664,58
PJ2533,54
PJ0469,18
PJ4439,14
PJ5590,55
PC1209,8
PJ5128,6
PJ0283,3
PC1281,17
PC0665,7
PJ3123,5
PC1349,12
PJ0679,19
PJ3322,21
PJ3510,13
PJ7014,116
PJ6445,122
PJ5568,28
PJ5394,4
PJ1790,10
PJ6761,14
PJ0407,78
PJ0336,19
PJ3560,9
PJ3799,23
PJ7130,38
PJ7127,6
PJ2605,12
PJ7048,6
PJ4317,32
PJ2373,2
PJ6537,12
PJ7397,2
PJ3501,1
PJ1987,16
PP0418,2
PJ6249,6
PJ3314,8
PJ2279,8
PC0123,12
PJ7232,18
PJ0326,28
PJ3213,158
PJ0969,13
PJ7041,34
PJ0498,6
PP0661,6
PJ1350,52
PJ2169,23
PP0701,13
PJ1339,3
PJ1513,10
PJ1561,35
PJ2180,15
PC1237,6
PJ2232,8
PJ1544,24
PC0179,3
PJ4132,4
PJ2681,10
PC1293,14
PJ4703,12
PJ7093,5
PJ5312,16
PJ3477,9
PJ3388,22
PJ0369,8
PJ1466,35
PJ0381,25
PJ3100,8
PJ0261,33
PJ1432,10
PJ4949,22
PJ3446,16
PJ3274,30
PJ5899,7
PJ0230,22
PJ3268,13
PC1160,22
PP0160,4
PJ2241,49
PJ3157,13
PJ3723,6
PJ2862,12
PC1103,8
PJ2026,16
PJ2287,22
PJ5636,17
PJ1092,25
PJ2206,11
PJ6127,15
PJ2020,2
PJ6396,7
PJ0008,2
PJ5513,6
PJ3508,17
PC1329,117
PJ2655,64
PJ4099,33
PJ1570,2
PJ0344,22
PJ2752,55
PJ6002,40
PJ4073,42
PJ3631,8
PJ0088,8
PJ3094,25
PJ3991,4
PJ1030,3
PJ4651,16
PJ3420,29
PJ2713,11
PC0752,4
PC0339,5
PJ7272,10
PJ3148,4
PJ0967,14
PJ4859,5
PC0034,10
PC0494,19
PJ2098,22
PJ1698,2
PJ1625,26
PJ6558,40
PJ6834,4
PJ5025,46
PC0945,4
PJ4581,22
PJ0974,6
PJ0672,9
PJ6829,14
PJ3624,13
PJ3425,4
PJ1591,19
PJ3522,25
PJ0476,26
PJ1675,144
PJ3432,72
PJ2435,17
PJ7379,18
PC1268,21
PJ6201,16
PJ4775,4
PJ3914,22
PC0913,4
PJ2682,19
PJ3443,23
PJ2678,18
PJ0402,8
PJ1931,31
PJ1509,14
PC1258,23
PJ0727,8
PJ6701,11
PJ4718,5
PJ0399,19
PJ7073,5
PJ4960,6
PP0694,2
PC0384,2
PJ6347,26
PJ3895,10
PJ2230,19
PJ3428,6
PJ6534,100
PC0844,53
PJ7081,148
PJ0633,67
PJ4295,12
PJ4621,25
PJ1043,30
PJ1837,19
PJ4281,29
PJ1539,14
PJ3448,30
PJ2250,6
PJ2399,22
PJ4625,10
PJ6642,4
PC0897,6
PJ3597,8
PJ5414,18
PJ6342,11
PJ6050,11
PJ0449,6
PJ4653,69
PJ5341,75
PJ6675,6
PC1170,14
PC0369,12
PJ2847,24
PJ5361,20
PJ3348,6
PP0583,32
PJ1489,13
PJ0262,26
PJ4355,7
PJ3135,5
PJ1973,41
PJ6596,31
PC0182,22
PJ0854,15
PJ4173,6
PJ0964,4
PJ4692,14
PJ4889,246
PJ0722,36
PJ2696,12
PC0558,8
PC0303,88
PP0585,21
PJ0433,63
PJ3608,21
PJ3062,79
PJ4125,24
PJ6399,29
PJ3036,18
PJ2712,30
PJ5252,19
PJ4512,18
PJ5533,10
PJ6679,21
PP0261,2
PJ5526,5
PJ4010,18
PJ6068,4
