Zip_Code,Crimes
64121,275
64127,9223
64117,2695
64112,1304
64138,2713
64113,921
64156,337
64139,126
64123,4221
99999,90
64145,836
64153,1296
64158,673
64137,1600
64136,253
64154,1507
64124,4327
64131,4847
64105,1961
64102,92
64111,7512
64114,3955
64161,386
64101,187
64122,51
64110,4682
64126,2022
64128,4223
64106,7226
64155,2279
64151,2392
64152,963
64129,2359
64118,3522
64134,7076
64133,5003
64116,1314
64130,11490
64109,5130
64107,72
64157,1111
64132,5396
64125,847
64108,4049
64146,152
64120,1137
64147,139
0,70
64119,2421
