Age,Crimes
31,1645
85,32
65,312
53,920
78,76
34,53812
101,2
81,38
28,1954
76,97
26,2025
27,1996
44,958
12,313
91,16
22,2067
93,7
47,945
1,133
52,1000
13,481
6,110
16,965
86,35
3,131
40,1342
20,2616
94,6
57,618
54,773
96,2
48,990
5,105
19,1712
92,10
64,264
41,1070
15,931
43,1075
112,1
37,1171
61,445
88,31
17,1128
9,157
72,127
35,1539
4,129
59,503
55,739
8,109
161,1
39,1205
23,2289
49,967
7,118
84,40
87,30
51,1040
69,164
63,358
10,155
77,85
50,1135
45,1085
38,1153
82,53
181,2
80,79
25,2502
73,96
24,2306
70,183
62,382
95,6
29,1791
21,1961
98,3
32,1698
60,468
90,18
75,82
56,750
58,562
33,1657
11,195
83,67
68,174
71,142
14,679
42,1135
2,114
79,64
30,2147
99,22
66,283
46,965
67,201
0,151
18,1574
74,102
36,1217
89,20
182,1
202,2
97,1
102,1
203,1
141,4
303,1
172,1
251,1
301,1
100,2
171,1
201,2
253,1
