Description,Crimes
misc violation,4
stealing from bldg,2
Possession/Sale/Dist,3949
Stealing from Buildi,5734
Aggravated Assault (,4564
Stalking,8
Stealing Auto Parts/,5912
Drunkenness,156
Family Disturbance,8
Statutory Rape,102
Liquor Law Violaton,304
Stealing From Auto,7476
Agg Assault - Drive-,447
Sex Offense -others,125
Intimidation,1061
Forcible Sodomy,320
Attempt Suicide by D,2
Family Offense,584
Forged Checks,446
False Information to,139
Credit/Debit/ATM Car,918
Failure to Return,104
burglary-res,2
Burglary - Non Resid,2135
Prostitution/Patroni,207
Attempt Suicide by C,68
Missing/Runaway Juve,2
Weapons Law Violatio,658
Embezzlement,409
Impersonation - NOT,29
Resisting an Officer,1619
Burglary - Residence,11738
Rape,540
stealing all other,2
Counterfeiting,69
Arson,431
Misc Violation,6151
Loitering,19
Property Damage,9840
HOMICIDE/Non Neglige,119
Agg Assault - Domest,1605
Forgery,611
Sex Off Indecent Exp,117
Bomb Threat/Intimida,54
Trespassing,3083
Sex Off Misconduct,105
Forcible Fondling,10
Arson with Fire Bomb,29
Sex Off Incest,5
Welfare Fraud,2
Hit and Run of a Per,12
Fraud/Confidence Gam,1141
Violation Ex Parte O,242
Promoting Prostituti,10
Auto Theft Outside S,626
Attempt Suicide by P,19
Wire Fraud,382
Stolen Property OFFE,271
Non Aggravated Assau,6239
Sex Off Fondle - mol,250
Sex Off Follow/Entic,16
Suicide - Domestic V,2
Attempt Suicide by O,20
Suicide by Other Mea,2
Stealing Bicycles,259
AUTO THEFT,4
Dead Body,141
Strong Arm Robbery,1829
Stealing Shoplifting,5821
Stealing Coin Operat,101
Casualty (includes a,11
Stealing All Other,5698
Driving Under Influe,969
BURGLARY NON RES,1
Possession of Drug E,1667
Armed Robbery,3533
Violation Full Order,512
Suicide By Shooting,5
Interference with Cu,68
Disorderly Conduct,1650
fraud,4
Non Agg Assault Dome,7628
Auto Theft,8572
Kidnapping/Abduction,118
Pornography,35
Impersonation,889
Stealing Pickpocket,128
Attempt Suicide by H,16
Suicide By Sleeping,16
Curfew,50
Urinating in Public,2
Sex Off Indecent Con,76
Stealing Purse Snatc,117
Misc Viol,2
Attempt Suicide by S,96
Stealing from Auto,2
Sexual Assault with,2
False ID,12
Intoxicated/Street,2
burglary res,2
stealing acc,4
Passing Bad Checks,10
DUI,2
Extortion/Blackmail,5
stealing-bldg,2
Suicide By Cutting,2
Burglary - Resid,3
resisting an officer,3
Littering,2
Bombing (other than,2
stealing oth,2
4,4
Peeping Tom,2
misc Inv,1
Suicide By Hanging,1
Stealing From Buildi,2
offensive contact,2
Attempt Suicide by G,1
forgery,2
Aggravated Assault,6
possession of drug e,3
Attempt Suicide by J,2
stealing,2
