Rep_Dist,Crimes
PP0285,123
PJ1325,30
PJ5142,29
PJ4079,85
PJ1354,29
PJ3172,72
PJ3195,18
PJ2228,20
PJ3439,15
PJ6064,40
PJ2881,18
PJ0892,16
PJ5862,18
PC1361,7
PJ2001,4
PJ1021,5
PJ2711,27
PJ0187,4
PJ2439,22
PJ2129,13
PJ4758,5
PJ3086,7
PJ4069,19
PJ1121,6
PJ4493,24
PC0917,2
PJ1428,43
PJ2622,4
PC0267,46
PJ1453,4
PJ3725,46
PJ4635,18
PJ2072,46
PJ1047,25
PC0806,26
PJ7212,6
PJ4035,41
PJ4668,18
PJ4369,3
PJ3563,17
PJ6116,11
PJ4552,4
PJ0575,2
PJ2204,7
PJ2452,8
PJ1744,7
PJ4056,10
PC0322,6
PC0294,79
PJ0216,8
PJ4207,52
PJ3435,18
PJ2900,48
PJ0346,10
PJ1964,40
PJ2856,14
PJ1437,6
PJ0198,22
PJ3847,24
PJ0172,10
PJ3676,8
PJ4897,28
PJ5424,10
PJ1843,19
PJ6690,11
PJ1108,2
PJ2135,15
PJ4246,15
PJ4815,2
PP0646,16
PJ5992,8
PJ0240,28
PJ3593,8
PJ1013,62
PJ5125,11
PJ4832,7
PJ4693,2
PJ2743,23
PJ2577,40
PJ6190,12
PJ0062,11
PJ2385,11
PC0646,2
PC0092,5
PJ5516,11
PJ0068,5
PJ4759,14
PJ4208,2
PP0370,13
PJ1564,6
PJ6567,4
PJ3977,2
PJ4721,4
PJ0694,27
PJ0288,28
PJ5132,18
PJ1473,91
PC1114,2
PJ0622,43
PJ4286,21
PJ2576,3
PJ1190,8
PJ0033,19
PJ6193,10
PJ2157,12
PJ4007,3
PJ0179,9
PJ1679,10
PJ4711,10
PJ0530,11
PJ0371,37
PJ1503,8
PJ2815,9
PJ2904,12
PJ0499,22
PJ0699,2
PJ0463,5
PJ5303,2
PJ3652,8
PC1157,6
PJ1849,14
PJ0517,74
PJ3340,6
PJ2755,50
PJ5131,10
PJ1160,62
PJ5994,10
PJ2111,15
PP0574,8
PJ6826,41
PJ3476,12
PJ3711,14
PJ1438,18
PJ4628,14
PJ0985,18
PJ5662,53
PJ6220,4
PJ3469,14
PJ1619,7
PJ3408,13
PC1016,11
PJ3210,5
PC0304,31
PJ0807,7
PJ4724,17
PJ3870,43
PJ3744,7
PJ5296,24
PJ2490,2
PC0837,4
PJ0772,13
PJ0249,26
PP0265,27
PJ5590,55
PJ3205,7
PJ3208,16
PP0708,4
PC1349,12
PJ2533,39
PJ6670,2
PC1209,5
PJ0469,38
PC1281,37
PJ3054,21
PJ4410,7
PJ3123,7
PJ5943,4
PJ4439,24
