Zip_Code,Crimes
64121,145
64127,9047
64117,2749
64112,1200
64138,2617
64113,809
64156,299
64139,178
64123,4527
99999,76
64145,921
64153,1317
64158,546
64137,1709
64136,341
64154,1292
64124,4322
64131,5091
64105,1723
64102,92
64114,3878
64111,7516
64161,318
64101,202
64110,4896
64126,1877
64128,4181
64106,6950
64155,1812
64151,1743
64152,780
64104,54
64129,2783
64118,3242
64134,6455
64133,4523
64116,1539
64130,10105
64109,4652
64107,47
64157,1050
64132,5437
64125,797
64108,3644
64146,137
64120,1007
64147,215
0,57
64119,2461
