Age,Crimes
31,1718
85,20
65,281
53,1016
78,74
34,1593
81,55
28,1920
76,90
26,2012
27,1968
44,1023
253,2
91,12
22,2078
93,10
111,1
47,949
52,1026
86,30
20,2663
40,1344
94,5
57,722
54,846
96,4
48,939
19,1468
92,15
64,311
41,1081
43,1127
37,1237
61,430
88,29
107,1
17,1097
72,139
35,1682
55,711
59,581
100,1
23,2188
39,1185
49,1013
84,55
136,1
87,23
51,940
69,160
63,379
77,59
50,1092
404,1
45,1094
38,1198
82,61
510,1
80,77
25,2611
73,105
24,2180
70,156
62,453
29,1916
21,2017
32,1603
60,495
90,20
75,85
151,1
56,714
303,1
354,1
58,634
33,1640
83,37
68,175
71,162
42,1042
79,67
30,2253
99,51
66,289
46,1057
67,280
18,1620
74,109
134,1
36,56496
89,17
137,1
189,1
202,1
121,1
95,3
201,2
157,1
283,1
97,2
102,1
