Description,Crimes
PROPERTY DAMAGE,2
liquor law violation,2
Possession/Sale/Dist,4730
Stealing from Buildi,5325
Aggravated Assault (,4768
misc investigation,5
Stalking,7
Stealing Auto Parts/,4926
Drunkenness,114
Family Disturbance,13
Statutory Rape,75
Liquor Law Violaton,372
],2
Stealing From Auto,7504
Agg Assault - Drive-,441
Sex Offense -others,117
Intimidation,1144
Forcible Sodomy,398
Agg Assault Dome,4
Forged Checks,421
False Information to,207
Family Offense,538
Credit/Debit/ATM Car,897
armed robbery,3
Failure to Return,116
False ID,15
Attempt Suicide by J,1
Burglary - Non Resid,2004
Prostitution/Patroni,241
Attempt Suicide by C,53
Weapons Law Violatio,753
Peeping Tom,4
Embezzlement,403
Impersonation - NOT,44
Resisting an Officer,1690
Burglary - Residence,10360
Rape,522
Counterfeiting,135
counterfieting,5
Misc Violation,5832
Arson,448
Passing Bad Checks,17
Suicide By Hanging,4
property damage,2
Loitering,31
AGG DV ASSAULT,3
Property Damage,10346
HOMICIDE/Non Neglige,101
Forgery,730
Agg Assault - Domest,1786
Sex Off Indecent Exp,123
Bomb Threat/Intimida,87
Trespassing,3175
Sex Off Misconduct,115
Arson with Fire Bomb,17
Forcible Fondling,13
Sex Off Incest,3
Hit and Run of a Per,22
Fraud/Confidence Gam,1233
Violation Ex Parte O,283
Promoting Prostituti,17
Auto Theft Outside S,570
Attempt Suicide by P,9
interuption of servi,3
Wire Fraud,447
Stolen Property OFFE,288
Non Aggravated Assau,6110
Sex Off Fondle - mol,295
Sex Off Follow/Entic,14
Attempt Suicide by O,27
Suicide by Other Mea,4
Stealing Bicycles,149
Dead Body,95
Stealing Shoplifting,5444
Strong Arm Robbery,1848
Stealing Coin Operat,33
Casualty (includes a,9
Stealing All Other,5130
Driving Under Influe,1039
Possession of Drug E,1872
Misc Investigation,1
child pornography,2
Armed Robbery,3170
Violation Full Order,614
Interference with Cu,95
Disorderly Conduct,1827
Non Agg Assault Dome,8432
Auto Theft,8181
Kidnapping/Abduction,73
Pornography,30
Impersonation,1038
Stealing Pickpocket,156
Fraud Confidence Gam,8
Attempt Suicide by H,9
Suicide By Sleeping,17
Curfew,63
Sex Off Indecent Con,45
Stealing Purse Snatc,106
Attempt Suicide by S,94
stealing from bldg,3
Sexual Assault with,2
Child Endangerment,2
intimidation,2
Extortion/Blackmail,2
Animal Bite - Dog,4
Walking in Street,1
AUTO THEFT,2
Suicide By Shooting,4
PROPERY DAMAGE,2
fraud,3
Non Agg Assault,5
Harassment,2
Aggravated Assault,4
aggravated assault,2
Negligent Manslaught,2
Bombing (other than,2
