Rep_Dist,Crimes
PJ4079,91
PP0285,161
PJ2881,38
PJ1325,20
PJ4493,19
PJ1021,20
PJ6971,8
PJ6064,48
PJ4069,28
PJ3172,39
PJ1354,39
PJ5142,37
PJ5862,27
PC1361,13
PJ2711,33
PJ2228,8
PJ0892,22
PJ2001,2
PJ2129,25
PJ3195,9
PJ6145,4
PP0639,4
PC0056,5
PJ3725,76
PJ1744,11
PC0806,23
PJ4668,38
PJ2072,50
PJ1428,65
PJ4035,71
PJ3563,24
PC0267,26
PJ6116,8
PJ5523,11
PJ4635,35
PJ2204,2
PJ2452,8
PC0193,4
PJ4056,8
PJ1047,8
PP0362,6
PJ4369,4
PJ7212,4
PJ6266,6
PJ4192,4
PC0294,51
PJ4246,12
PJ0216,9
PJ1843,27
PJ2900,51
PJ1964,17
PJ5424,4
PJ3676,8
PJ3847,40
PJ4207,56
PJ4247,7
PJ3861,2
PJ4897,37
PJ1437,14
PJ2135,29
PJ0198,21
PJ6690,13
PJ0346,6
PP0646,20
PC0972,4
PJ0172,8
PJ1108,13
PJ6247,4
PJ3435,4
PJ2577,98
PJ1013,38
PJ5474,4
PJ2743,20
PC0879,12
PJ2385,17
PJ6807,5
PJ5516,28
PC0092,15
PJ4721,6
PJ4759,2
PJ5125,13
PC0923,6
PJ6190,17
PP0370,14
PJ6035,2
PJ4832,3
PJ1865,8
PJ4307,6
PJ4208,4
PC0646,18
PJ2095,1
PJ4583,4
PJ5992,8
PJ3593,6
PJ4286,12
PJ0622,69
PJ0499,26
PJ5303,10
PC1157,9
PJ0288,20
PJ1473,56
PJ2815,21
PJ6193,4
PJ0694,24
PJ1679,14
PJ1503,14
PJ3652,6
PJ0033,20
PJ0463,2
PJ0383,10
PJ0699,2
PJ4711,12
PC0561,7
PP0549,2
PJ0530,33
PJ1190,4
PJ0371,32
PJ4007,2
PJ3623,2
PJ2576,5
PJ5132,4
PJ2157,11
PJ0994,2
PJ2904,8
PJ0179,5
PJ4315,2
PC0141,4
PJ4268,2
PC1016,21
PJ1619,9
PJ0517,95
PJ6826,31
PJ1438,6
PC0304,69
PJ2755,26
PJ5662,68
PJ3711,4
