Zip_Code,Crimes
64121,48
64127,9068
64117,2667
64112,1390
64138,2564
64113,815
64156,347
64139,136
64123,4337
64145,1159
64153,1418
64158,564
64136,287
64137,1487
64154,1213
64124,4610
64131,4944
64105,1732
64102,89
64114,3554
64111,7532
64161,292
64101,317
64110,4580
64126,2048
64128,4325
64141,55
64106,6306
64155,1753
64151,2054
64152,1045
64104,50
64129,2132
64118,3410
64134,6362
64133,4344
64116,1801
64130,10457
64109,4460
64107,70
64157,1208
64132,4526
64125,697
64108,3947
64115,47
64146,155
64120,999
64147,124
64119,2615
