Description,Crimes
Prostitution/Solicit,223
Possession/Sale/Dist,4206
Stealing from Buildi,4880
Aggravated Assault (,5444
Stalking,11
Drunkenness,83
Stealing Auto Parts/,4476
Liquor Law Violaton,298
Statutory Rape,101
Stealing From Auto,7448
Agg Assault - Drive-,443
Sex Offense -others,82
Intimidation,1357
Forcible Sodomy,401
Family Offense,461
False Information to,224
Forged Checks,367
Credit/Debit/ATM Car,955
Failure to Return,149
False ID,23
Attempt Suicide by J,3
Burglary - Non Resid,1982
Prostitution/Patroni,117
Attempt Suicide by C,62
Missing/Runaway Juve,10
Weapons Law Violatio,1502
Peeping Tom,8
prowling,4
Embezzlement,479
Impersonation - NOT,79
Resisting an Officer,1386
Burglary - Residence,9023
Rape,506
Counterfeiting,114
Agg Assault,2
Misc Violation,5772
Arson,406
Passing Bad Checks,13
Loitering,9
Property Damage,10368
HOMICIDE/Non Neglige,201
Agg Assault - Domest,2367
Forgery,551
Sex Off Indecent Exp,106
Bomb Threat/Intimida,75
Trespassing,3113
Sex Off Misconduct,156
Extortion/Blackmail,4
Hindering,2
Forcible Fondling,42
Arson with Fire Bomb,15
impersonation,2
auto theft,4
Hit and Run of a Per,21
Violation Ex Parte O,370
Fraud/Confidence Gam,1332
Promoting Prostituti,36
Auto Theft Outside S,713
Attempt Suicide by P,7
Wire Fraud,273
Stolen Property OFFE,407
Non Aggravated Assau,6249
Sex Off Fondle - mol,316
Sex Off Follow/Entic,13
Attempt Suicide by O,25
Stealing Bicycles,154
Dead Body,100
Strong Arm Robbery,1894
Stealing Shoplifting,5611
Stealing Coin Operat,26
Negligent Manslaught,4
Casualty (includes a,12
Receiving Stolen Pro,1
Stealing All Other,4598
Identity Theft,91
Driving Under Influe,978
Justifiable Homicide,2
Possession of Drug E,1826
PROPERTY DAM,1
Armed Robbery,3665
Bombing (other than,4
Violation Full Order,736
Suicide By Shooting,3
Interference with Cu,83
Disorderly Conduct,1505
Non Agg Assault Dome,9004
Auto Theft,8325
Kidnapping/Abduction,109
Pornography,47
Impersonation,2078
Stealing Pickpocket,132
Fraud Confidence Gam,10
Suicide By Sleeping,10
Attempt Suicide by H,10
Curfew,47
Sex Off Indecent Con,69
STEALING ACC,2
Stealing Purse Snatc,90
Attempt Suicide by S,81
resist,2
Family Disturbance,5
Intimidation (DV),2
Fraud,2
STEALING,2
burglary,2
403,4
Welfare Fraud,2
resisting officer,2
Suicide By Cutting,1
misc juv,5
Auto Theft7,2
Gambling - Operating,3
CHILD ABUSE,2
Stealig All Other,2
Counterfeitting,1
Arson OTH,2
Animal Bite - All Ot,1
1,1
RAPE,2
embezzlement,2
possession of drug e,2
fraud,2
