Rep_Dist,Crimes
PP0285,218
PJ2439,34
PJ6971,2
PJ4079,136
PJ2881,32
PJ3172,52
PJ0892,15
PJ5862,8
PJ6064,53
PJ1354,27
PJ2475,9
PJ5142,32
PJ4758,10
PJ6145,9
PJ1325,16
PJ2129,27
PP0639,7
PJ2228,23
PJ4493,18
PJ2711,16
PJ0187,7
PJ2001,2
PJ3195,18
PJ4069,14
PJ4716,10
PJ3086,6
PC1361,4
PJ3725,38
PC0806,11
PJ4035,74
PC0267,29
PJ4668,40
PJ3563,19
PJ4192,6
PJ2072,26
PJ4635,15
PC0193,12
PJ2622,4
PJ1428,27
PJ7212,11
PJ5523,15
PJ4056,16
PJ3063,6
PJ1744,11
PP0362,2
PJ1047,3
PC1184,6
PJ4246,31
PJ6585,1
PC0294,43
PJ3676,18
PJ4815,4
PJ0346,15
PJ4229,14
PJ6238,4
PJ1437,8
PJ6690,13
PJ2900,34
PJ0216,10
PJ0198,14
PP0646,15
PJ3847,44
PJ2856,22
PJ4086,2
PJ7144,2
PJ4971,6
PJ4207,45
PJ4247,6
PJ1964,10
PJ1843,11
PJ4897,9
PJ5424,10
PJ1108,9
PJ6112,6
PJ3435,11
PJ2577,69
PJ5992,9
PJ0240,16
PJ5516,3
PJ2743,9
PJ1564,6
PJ7109,18
PC0923,9
PJ5125,16
PJ4721,2
PJ6190,24
PJ1013,28
PJ4583,4
PJ4759,6
PC0092,3
PJ6567,7
PJ3593,12
PJ2587,2
PJ2385,9
PJ6807,2
PC0879,2
PP0370,15
PJ4208,6
PC0153,2
PJ0622,27
PJ0149,2
PJ0530,14
PJ0179,13
PJ0371,21
PJ0463,18
PJ0033,19
PJ4286,50
PP0709,2
PJ1473,85
PJ0383,26
PJ3652,10
PJ4315,2
PJ0694,44
PJ0499,18
PJ3623,16
PJ0699,8
PJ1190,6
PC1114,15
PJ6193,6
PJ1503,14
PJ2815,15
PJ6480,8
PC1157,8
PJ5132,21
PJ5303,8
PJ0994,3
PJ2157,4
PC0561,4
PJ0288,13
PJ4007,12
PP0438,4
PJ3711,17
PJ2755,50
PC0304,61
PJ0517,86
PJ3469,10
PJ5296,4
PC1016,4
PJ3408,6
PJ6826,30
PJ5131,32
PJ3340,2
PJ5662,97
PJ4724,27
PJ0232,14
PJ1849,12
PP0574,8
PJ2111,21
PJ1619,16
PJ6120,14
PJ0249,12
PP0265,12
PJ3870,24
PJ3210,6
PC0609,12
PJ3476,6
PJ2113,7
PJ0807,6
PJ0772,6
PJ5960,2
PJ6372,4
PJ6685,6
PJ0985,8
PJ1575,6
PJ1160,27
PJ6464,8
PJ0174,11
PJ0283,14
