Zip_Code,Crimes
64121,31
64127,8149
64117,2635
64112,1198
64138,2319
64113,698
64156,279
64139,159
64123,3578
99999,4499
64145,1140
64153,1357
64158,493
64137,1886
64136,300
64154,1425
64131,4582
64124,4166
64105,1823
64102,88
64111,6458
64114,3323
64161,316
64101,261
64110,4236
64126,1611
64128,4222
64141,37
64106,6233
64155,2064
64151,2193
64152,992
64104,70
64129,2595
64118,3372
64134,6243
64133,4535
64116,1694
64130,10635
64109,4806
64157,1171
64132,5237
64125,676
64108,3711
64115,42
64146,175
64120,844
64147,170
64119,2509
