Age,Crimes
31,1804
85,33
65,346
53,1033
78,74
34,1766
81,59
28,2106
76,114
27,2284
26,2258
44,1055
91,18
22,2122
93,5
47,978
52,937
86,41
20,2608
40,1501
283,2
94,6
57,805
54,1011
48,1004
19,1393
92,8
64,387
41,1182
43,1021
37,1628
61,501
88,32
72,138
35,1879
55,1029
59,667
23,2296
39,1344
49,910
84,52
87,26
51,924
69,274
63,417
77,76
102,2
50,1027
45,1176
38,1399
82,65
80,77
25,2771
73,157
24,2285
70,186
62,443
95,3
29,1997
21,1748
60,621
32,1729
90,19
75,122
56,885
58,700
33,1721
83,50
71,156
68,250
42,1156
79,84
30,2499
99,72
66,311
46,1083
67,262
18,1739
74,139
36,58761
89,18
101,4
223,1
96,2
202,4
17,1315
100,1
161,2
303,2
116,1
131,3
251,1
210,1
122,1
404,1
181,1
121,1
141,1
103,1
304,2
