Description,Crimes
Prostitution/Solicit,183
Possession/Sale/Dist,4727
Stealing from Buildi,5061
misc off,2
Aggravated Assault (,6550
Stalking,22
Stealing Auto Parts/,4023
Drunkenness,63
Statutory Rape,71
Liquor Law Violaton,310
Stealing From Auto,7670
Agg Assault - Drive-,688
Sex Offense -others,92
Intimidation,1543
Forcible Sodomy,394
Agg Assault Dome,4
False Information to,232
Family Offense,617
Forged Checks,329
Credit/Debit/ATM Car,1213
Failure to Return,71
Burglary - Non Resid,1879
Prostitution/Patroni,229
Missing/Runaway Juve,20
Attempt Suicide by C,37
Weapons Law Violatio,1996
Embezzlement,463
Impersonation - NOT,96
Resisting an Officer,1557
Burglary - Residence,9323
Rape,555
Counterfeiting,291
Misc Violation,5714
Arson,430
Passing Bad Checks,24
Suicide By Hanging,1
Loitering,48
Property Damage,11022
HOMICIDE/Non Neglige,251
Sex Off Indecent Exp,140
Agg Assault - Domest,2762
Forgery,443
Bomb Threat/Intimida,97
Trespassing,3496
Sex Off Misconduct,149
Extortion/Blackmail,19
Forcible Fondling,9
Hit and Run of a Per,17
Fraud/Confidence Gam,1597
Violation Ex Parte O,534
Promoting Prostituti,60
Auto Theft Outside S,628
Attempt Suicide by P,10
Wire Fraud,301
Stolen Property OFFE,490
NON AGG ASSAULT DV,2
Non Aggravated Assau,6435
Sex Off Fondle - mol,293
Sex Off Follow/Entic,12
Hacking/Computer Inv,78
Attempt Suicide by O,24
Suicide by Other Mea,2
Stealing Bicycles,177
Dead Body,61
Strong Arm Robbery,2099
Stealing Shoplifting,6113
Stealing Coin Operat,42
Animal Cruelty,14
Casualty (includes a,4
Stealing All Other,4255
Identity Theft,1502
Driving Under Influe,985
Possession of Drug E,2017
Attempt Suicide by G,2
Armed Robbery,4027
Violation Full Order,772
Suicide By Shooting,8
forgery,2
Interference with Cu,104
Disorderly Conduct,1546
Non Agg Assault Dome,8943
Burg Res Occ,2
Auto Theft,8426
Pornography,33
Kidnapping/Abduction,177
Stealing Pickpocket,109
Attempt Suicide by H,17
Curfew,52
Sex Off Indecent Con,91
Stealing Purse Snatc,98
Attempt Suicide by S,68
Family Disturbance,6
Sexual Assault with,6
False ID,5
Attempt Suicide by J,5
Peeping Tom,9
agg dv assault,2
Arson with Fire Bomb,4
Suicide - Domestic V,2
STEAL TFA,2
disorderly conduct,4
Idenity Theft,2
Justifiable Homicide,3
non agg assault,4
fraud,3
Suicide By Sleeping,3
kidnapping,2
INTIMIDATE,2
Suicide By Cutting,1
trespassing,2
