Rep_Dist,Crimes
PP0285,221
PJ1354,48
PJ4079,112
PJ4758,16
PJ3195,18
PJ3172,89
PC0056,17
PJ5142,43
PJ1021,16
PJ2129,16
PJ2439,15
PJ2711,25
PJ6064,34
PJ5862,17
PC0917,8
PJ3439,4
PJ3086,4
PJ6145,2
PJ1325,5
PJ0892,11
PJ4716,2
PC1361,13
PJ7212,7
PC0193,12
PC0267,51
PJ4668,44
PJ3725,46
PJ3563,8
PJ2622,7
PC0806,31
PJ4035,65
PJ5523,9
PJ4056,9
PJ4635,23
PJ2072,28
PJ5274,6
PJ0575,2
PJ3063,8
PJ4192,2
PJ4369,6
PJ2452,5
PJ6116,4
PJ5389,2
PJ1744,8
PJ1428,33
PJ6266,2
PC1184,8
PJ4246,55
PJ0198,31
PJ1437,32
PJ0346,21
PJ6247,11
PJ6112,2
PJ2135,10
PJ0172,4
PJ0216,7
PC0294,108
PJ4207,65
PJ6585,12
PJ3847,29
PJ4229,12
PJ6690,21
PJ4247,4
PJ7144,8
PJ4971,4
PJ4897,26
PJ1964,10
PJ5424,14
PP0646,6
PJ2856,15
PJ2900,19
PC0972,8
PJ1108,2
PJ5516,56
PP0688,9
PC0923,8
PJ4759,19
PC0646,11
PJ7109,2
PJ1865,9
PJ2577,76
PJ5992,25
PP0370,10
PJ4208,9
PJ4952,4
PC0879,4
PJ1013,27
PJ1564,5
PJ5125,4
PJ5474,3
PJ6035,6
PJ0062,2
PJ4583,4
PJ6190,20
PJ4244,4
PJ6567,5
PJ0371,24
PJ0530,26
PJ0149,13
PJ0622,63
PJ0694,55
PC1114,8
PP0549,7
PJ0699,10
PJ1473,169
PJ0179,8
PJ2904,22
PJ0499,30
PJ1503,23
PJ6480,2
PP0438,2
PJ1190,26
PJ0288,25
PJ0383,21
PJ0033,6
PJ3652,33
PJ5303,8
PC0561,11
PJ2815,17
PJ4286,24
PJ3623,4
PJ2157,26
PJ4268,2
PC1157,2
PJ4007,4
PJ0463,6
PP0709,3
PC0609,20
PJ3870,18
PJ6826,50
PJ2755,30
PJ0232,31
PC0304,45
PP0265,41
PJ3476,12
PJ5662,81
PJ2113,6
PJ0772,13
PJ0807,2
PJ4724,22
PJ3711,14
PJ6372,2
PJ1619,14
PJ6220,15
PJ2155,4
PJ6242,2
PJ3210,10
PJ0517,46
PJ5131,20
PJ6917,2
PJ0249,16
PJ5296,15
PC1016,10
PP0574,6
PJ1438,8
PJ6685,2
PJ2111,22
PJ5994,6
PJ1160,27
PJ3054,47
PJ3123,6
PJ0174,3
PJ5590,48
PJ6464,18
PC0665,4
PJ4410,18
PJ5128,12
PJ5943,4
PJ3208,13
PJ0469,22
PJ3061,2
PC1281,25
PJ6670,16
PJ2664,45
PJ3535,6
PC1349,6
PJ4439,13
PJ0283,7
PJ2533,32
PC0952,4
PJ2929,2
PJ4851,2
PJ0336,12
PJ7130,38
PJ3560,14
PJ3322,18
PJ0407,81
PJ6445,76
PJ1983,4
PJ4317,53
PJ5568,67
PJ7014,121
PC0943,2
PJ3799,11
PJ3314,14
PJ3510,14
PJ6537,24
PJ5394,24
PJ0679,13
PJ2279,9
PJ2605,4
PJ2373,11
PP0418,21
PJ3198,2
PC0474,6
PC0123,9
PJ3213,206
PJ4624,8
PJ3477,12
PJ1350,18
PC1237,15
PJ4707,14
PJ7041,60
PJ0326,13
PJ2232,15
PJ0498,16
PJ5576,4
PJ6374,14
PJ5312,24
PC1293,10
PP0701,9
PJ2681,20
PJ1513,10
PJ1793,13
PJ1544,22
PJ0969,14
PJ1339,4
PJ1561,45
PJ4400,6
PJ4132,2
PJ0314,4
PC1341,2
PJ7093,4
PJ1733,3
PJ3388,5
PJ7232,2
PJ4703,12
PJ0261,44
PJ5595,10
PC1160,24
PJ3723,2
PJ6370,2
PJ2821,2
PJ2241,81
PJ5636,2
PJ0008,4
PJ3100,12
PC1103,16
PJ1466,38
PJ0381,38
PJ6396,16
PJ3274,12
PC1385,10
PJ2287,8
PJ3268,17
PJ1092,42
PJ4949,5
PJ5899,6
PC0580,2
PJ3446,14
PJ3157,11
PC0500,10
PJ6127,12
PJ5513,7
PP0160,6
PJ6488,4
PJ2862,5
PJ6433,6
PJ4148,2
PC1069,2
PJ0344,30
PJ2752,22
PJ6198,7
PJ2655,104
PJ4909,13
PJ3631,12
PJ4651,13
PJ3094,15
PC1329,44
PJ2595,11
PJ4099,25
PJ2713,2
PJ1030,4
PJ2530,4
PJ6053,2
PC0339,2
PJ6002,8
PP0506,2
PC0752,8
PJ3148,10
PJ6754,8
PJ0967,2
PC0087,7
PJ3624,4
PJ3522,23
PJ1625,14
PJ5025,32
PJ4969,4
PC0494,18
PP0240,8
PJ1698,6
PJ4581,27
PJ6558,44
PC0920,7
PJ0974,12
PJ3425,12
PJ2098,14
PC0034,8
PJ6829,2
PC0945,7
PJ1591,7
