Zip_Code,Crimes
64121,45
64127,8919
64117,2624
64112,1301
64138,2832
64113,752
64156,389
64139,180
64123,4248
99999,4923
64145,1119
64153,1432
64158,547
64137,2259
64136,266
64154,1652
64124,4016
64131,5314
64105,1420
64102,69
64114,3578
64111,6872
64161,324
64101,145
64110,4211
64126,1791
64128,4488
64141,51
64106,5950
64155,2185
64151,2098
64152,1039
64068,39
64129,2571
64118,3718
64134,6896
64133,5189
64116,1617
64130,11198
64109,4180
64157,1230
64132,5059
64125,704
64108,3567
64146,212
64115,91
64120,795
64147,195
64119,2912
