Age,Crimes
31,1776
85,44
65,345
53,907
78,94
34,1714
81,76
28,2376
76,105
26,2222
27,2365
44,1025
91,13
22,1968
93,12
47,1080
52,921
86,35
20,2461
40,1634
94,10
57,862
54,937
96,7
48,1011
19,1581
92,16
64,418
117,2
41,1192
43,1150
37,62529
61,572
88,28
72,146
35,1939
55,928
59,670
39,1322
23,2248
49,942
84,43
87,21
51,967
69,230
63,509
77,116
50,1109
45,1166
38,1625
82,68
80,82
25,2988
73,129
24,2355
70,231
62,509
95,6
29,2144
21,1875
32,1870
60,615
90,20
75,126
56,856
303,2
58,699
33,1747
83,50
68,247
71,174
42,1202
79,86
30,2555
99,155
66,311
46,1106
67,276
18,1666
74,158
180,1
36,1606
89,24
191,1
301,1
97,1
181,3
98,4
201,4
131,3
168,1
507,1
202,3
400,2
253,1
182,1
161,1
304,1
