Description,Crimes
Prostitution/Solicit,172
Possession/Sale/Dist,5369
Stealing from Buildi,5038
Aggravated Assault (,7095
Stalking,31
Drunkenness,39
Stealing Auto Parts/,4050
Family Disturbance,5
Liquor Law Violaton,321
Statutory Rape,91
Stealing From Auto,9470
Agg Assault - Drive-,695
Sex Offense -others,115
Intimidation,1632
Forcible Sodomy,389
MISSING PERSON,1
Family Offense,594
False Information to,301
Forged Checks,445
Credit/Debit/ATM Car,1165
Sexual Assault with,4
Failure to Return,52
False ID,19
Attempt Suicide by J,4
Burglary - Non Resid,2322
Prostitution/Patroni,150
Missing/Runaway Juve,7
Attempt Suicide by C,33
Weapons Law Violatio,1183
Embezzlement,545
Impersonation - NOT,86
Resisting an Officer,1890
Burglary - Residence,8356
5,2
Rape,678
Counterfeiting,318
Misc Violation,4324
Arson,479
property damage,4
Passing Bad Checks,13
Loitering,34
Property Damage,12153
HOMICIDE/Non Neglige,267
Bomb Threat/Intimida,110
Forgery,411
Sex Off Indecent Exp,129
Agg Assault - Domest,3049
Trespassing,3443
Sex Off Misconduct,152
Extortion/Blackmail,18
Forcible Fondling,17
Arson with Fire Bomb,8
Welfare Fraud,4
auto theft,1
Sex Off Incest,2
Hit and Run of a Per,14
Fraud/Confidence Gam,1695
Violation Ex Parte O,455
Promoting Prostituti,24
Auto Theft Outside S,937
Human Trafficking/Co,6
Attempt Suicide by P,9
Misc Viol(2601),2
Wire Fraud,373
Stolen Property OFFE,698
Non Aggravated Assau,6511
Sex Off Fondle - mol,412
Sex Off Follow/Entic,20
Hacking/Computer Inv,42
Attempt Suicide by O,28
Stealing Bicycles,162
Dead Body,78
Stealing Shoplifting,5928
Strong Arm Robbery,2018
Stealing Coin Operat,40
Animal Cruelty,4
Casualty (includes a,11
Identity Theft,1362
Stealing All Other,4733
Driving Under Influe,978
Justifiable Homicide,16
Possession of Drug E,1659
Attempt Suicide by G,1
Armed Robbery,4269
Violation Full Order,757
Interference with Cu,139
Disorderly Conduct,1544
Invasion of Privacy,2
fraud,3
Non Agg Assault Dome,8993
Auto Theft,9415
Kidnapping/Abduction,233
Pornography,38
Stealing Pickpocket,159
Stealing Acc,2
Suicide By Sleeping,11
Attempt Suicide by H,10
Curfew,51
Sex Off Indecent Con,84
Aggravated Assault,7
Stealing Purse Snatc,99
counterfeiting,1
Attempt Suicide by S,89
Suicide By Hanging,2
Vagrancy,2
Suicide By Cutting,1
Suicide by Other Mea,3
Suicide By Shooting,2
4,2
strong armed robbery,2
robbery,3
broken window,2
Stealing from uildi,3
Peeping Tom,3
1,2
s,2
