Rep_Dist,Crimes
PJ2881,36
PJ2439,7
PP0285,283
PJ1021,11
PJ3172,87
PJ4758,6
PJ4079,80
PJ4716,4
PJ6064,30
PJ5142,37
PJ2129,18
PJ2711,40
PJ2228,4
PJ3439,19
PJ4069,16
PC0427,6
PJ5862,16
PJ2475,4
PJ3086,8
PJ0892,8
PJ2001,5
PC1361,6
PJ6145,4
PJ1325,12
PJ3195,6
PJ1354,20
PJ4493,22
PC0056,4
PJ3725,45
PC0267,69
PJ4035,83
PJ1428,27
PJ2204,5
PC0193,4
PJ6266,4
PJ3563,18
PJ1856,2
PJ6116,4
PC0806,28
PJ4056,22
PJ1453,11
PJ4668,22
PJ1744,16
PJ5389,6
PJ2452,4
PJ4635,24
PJ1047,4
PJ2622,6
PJ4552,2
PJ0575,1
PC0322,2
PC1184,8
PJ5523,2
PJ4246,51
PC0294,54
PJ4086,8
PJ2135,10
PP0646,6
PJ3435,4
PJ6690,25
PJ1437,20
PJ0198,14
PJ0216,2
PJ4815,8
PJ4229,31
PJ2900,24
PJ4207,43
PJ1964,15
PJ6585,6
PC0972,3
PJ3676,23
PJ4971,4
PJ5424,4
PJ1843,15
PP0514,6
PJ4957,2
PJ0346,12
PJ1108,8
PJ3847,32
PJ4832,13
PJ2577,84
PJ2385,13
PJ5125,40
PJ5516,45
PJ6190,33
PJ3593,14
PJ4307,4
PJ2587,3
PJ1013,41
PJ4759,10
PJ5992,10
PC0879,8
PC0092,9
PJ5487,5
PC0646,10
PJ5474,2
PP0688,2
PJ0068,22
PJ0152,2
PJ0622,54
PJ2576,2
PJ0499,27
PJ0694,47
PJ0033,42
PJ1473,115
PJ6480,4
PJ0179,13
PJ0699,21
PJ4286,52
PJ0371,22
PJ0149,13
PJ0530,20
PJ3652,18
PJ4711,4
PJ2815,21
PJ1503,11
PJ3623,6
PJ5303,4
PJ1190,25
PJ4007,26
PJ1679,7
PJ5132,14
PJ2157,11
PJ2904,9
PJ0288,29
PJ0383,17
PC1114,2
PJ0463,4
PJ4020,2
PJ3711,20
PJ1160,18
PJ0985,6
PJ5662,24
PC0086,2
PJ1619,12
PJ1821,15
PP0574,48
PC0304,76
PJ5296,40
PJ2755,42
PJ0807,19
PJ5131,17
PJ6120,9
PJ4724,27
PJ3870,22
PJ0517,43
PJ3469,6
PJ6826,40
PJ3210,14
PJ1849,14
PJ2111,18
PJ0249,22
PJ3476,8
PC1016,8
PJ7313,6
PJ3340,8
PP0265,19
PJ0232,13
PJ1438,11
PJ0772,15
PJ1575,9
PJ6372,2
PJ5960,3
PC0609,8
PJ2155,2
PJ3408,10
PJ0469,41
PJ3054,18
PJ5415,4
PJ6670,18
PC0665,3
PJ2664,91
PJ4410,6
PC1281,33
PJ7106,10
PJ3123,15
PJ3208,17
PJ2533,28
PC1349,16
PJ3535,16
PJ4439,28
PJ6103,2
PJ0174,2
PJ5590,22
PJ2929,6
PJ6464,2
PC0952,2
PJ0283,16
PJ3205,4
PJ0407,91
PJ5568,78
PJ3322,29
PJ0679,23
PJ2279,26
PJ7014,125
PJ6445,74
PJ3510,7
PJ0336,22
PJ6537,21
PJ7048,4
PJ3560,18
PJ5394,6
PJ6761,13
PJ4317,27
PJ7397,2
PJ1790,12
PJ1983,20
PJ6249,5
PJ1987,37
PJ1002,2
PJ3314,26
PJ7130,12
PJ2373,17
PJ2605,23
PP0418,5
PJ3501,4
PC0474,17
PC1035,12
PC0943,3
PJ7159,2
PC0123,4
PJ3213,166
PJ4703,13
PJ3477,4
PJ0498,19
PJ1544,32
PJ4400,5
PJ5312,19
PJ2232,11
PJ2681,14
PJ0969,12
PJ7041,37
PC1341,6
PJ2180,16
PC1237,8
PJ1793,12
PJ1733,11
PP0701,8
PJ7232,22
PJ1350,19
PJ0326,13
PJ5576,2
PP0661,17
PJ4707,17
PJ1513,12
PJ4132,11
PJ4624,2
PC1293,5
PJ0314,15
PJ3388,6
PJ6374,8
PJ7207,23
PJ1092,51
PJ2241,105
PJ0230,25
PC1385,4
PJ0008,7
PJ1432,16
PJ0381,22
PJ3157,15
PJ2862,6
PJ6433,11
PJ3268,15
PJ6396,8
PJ0261,18
PJ3446,10
PJ5595,7
PJ0369,2
PJ0899,11
PJ3100,8
PC0886,11
PC1160,35
PJ6370,19
PJ4949,6
PJ5899,2
PJ2287,19
PC1103,8
PC0580,6
PJ3274,24
PJ1466,23
PJ7362,10
PJ5513,14
PJ5636,5
PP0160,10
PJ0809,11
PJ4073,47
PJ0967,11
PJ2655,79
PJ4099,29
PJ4651,20
PJ2595,11
PJ2713,25
PC1329,58
PJ3420,8
PJ4909,12
PJ2752,10
PJ7272,6
PJ0344,24
PJ3631,6
PJ6754,15
PJ3508,3
PJ6002,1
PJ3094,7
PJ5025,59
PJ1625,17
PJ3522,22
PJ6558,55
PJ6834,9
PC0920,9
PJ4581,16
PJ1591,37
PC0034,21
PJ5795,2
PJ4859,5
PJ7096,8
PC0494,10
PJ2552,7
PC0945,4
PJ0672,10
PJ3624,4
PJ3886,1
PJ1698,6
PJ3425,4
PJ4775,1
PC0913,20
PJ3914,39
PJ7412,8
PJ2678,20
PJ1675,103
PJ3432,70
PJ3895,1
PC0384,24
PJ6347,28
PC1268,4
PJ6701,17
PC1258,28
PJ4009,24
PJ2560,3
PJ7073,8
PJ6842,28
PJ2435,6
PJ4989,8
PJ0476,10
PJ1636,4
PJ6201,15
PJ2160,23
PJ0786,13
PJ3443,13
PJ0399,5
PJ0727,14
PJ1931,14
PJ6101,3
PJ4718,2
PJ1202,6
PJ1226,2
PJ1195,10
PJ4386,6
PC0844,53
PJ2399,26
PJ6534,124
PJ4653,28
PJ7081,179
PJ5414,12
PJ3597,23
PJ1837,29
PJ0633,25
PJ3448,26
PJ1043,30
PJ1796,4
PJ6642,15
PJ2997,4
PJ2250,4
PC1124,6
PJ4621,11
PJ4295,7
PJ4625,4
PJ0449,2
PJ6050,13
PJ0231,2
PJ5341,76
PC0182,7
PJ1489,27
PJ4355,16
PJ2847,34
PJ6362,8
PJ4173,8
PJ0854,36
PJ3135,6
PC1170,8
PJ6596,24
PP0319,2
PC0369,20
PJ5361,10
PJ6234,6
PJX006,12
PJ4692,25
PJ2391,8
PJ1973,24
PJ0262,13
PJ0838,4
PJ2181,4
PP0583,6
PJ1982,11
PJ4889,255
PJ0433,65
PJ3105,16
PJ7137,16
PJ0921,20
PC0303,134
PJ4125,32
PJ2027,8
PJ3561,50
PJ3062,62
PJ6679,31
PJ0722,87
PJ4512,26
PJ3036,34
PC0090,4
PJ2712,34
PJ3390,29
PJ1617,22
PJ6006,2
PJ5533,6
PJ6310,20
PC0558,9
PJ5252,28
PP0585,16
PJ6437,8
PJ4880,7
PJ5809,20
PJ2696,2
PJ3608,4
PJ4336,11
PP0589,3
PC0197,2
PC0848,23
PC0816,6
PJ2433,34
PJ6251,42
PJ2288,21
PJ5829,20
PJ5448,9
PJ3137,76
PC1279,8
PC0181,64
PC1203,4
PJ4619,12
PJ1626,17
PJ3221,9
PJ6176,5
PP0330,4
PJ6864,13
PJ3866,7
PJ0358,6
PJ5231,22
PJ4447,7
PP0349,2
PC0095,2
PJ3533,77
PJ4933,86
PC1199,156
PJ5400,4
PJ6719,14
PC1204,50
PC0937,30
PJ0349,52
PJ1349,6
PJ3667,6
PJ1328,13
PC0136,2
PC0813,22
PC1040,38
PJ2084,2
PJ0509,8
PJ2707,7
PJ5201,13
PJ3857,24
PJ6785,102
PJ6787,13
PJ0668,60
PJ1807,8
PJ1103,10
PC0074,40
PJ4182,67
PJ3308,26
PJ7080,60
PJ1978,15
PJ4357,15
PP0704,13
PJ6731,8
PJ5680,15
PJ1297,25
PC0716,30
PJ0743,41
PJ1664,9
PC1195,6
PJ0910,29
PJ4782,11
PJ1449,2
PJ0438,17
PP0689,2
PJ6167,5
PC1132,7
PJ1555,11
PJ1100,4
PJ4319,3
PC0974,8
PJ5129,9
PJ1840,12
PJ7206,12
PJ2567,10
PJ2413,26
PJ2448,32
PJ0681,8
PJ4095,10
PJ2618,13
PJ2514,10
PJ5828,9
PJ5195,8
PJ0900,5
PC1328,9
PJ3620,20
PJ1142,2
PJ0580,22
PJ0682,26
PJ4240,9
PJ1917,6
PJ3872,2
PJ4331,2
PJ3756,2
PJ6088,12
PC0424,4
PJ2052,2
PP0478,3
PC1179,11
PJ0822,86
PJ6782,13
PC0951,12
PJ0888,33
PJ1868,4
PJ2123,25
PJ4670,17
PJ7247,132
PJ4521,12
PJ4681,35
PJ5193,20
PJ0421,23
PJ1745,8
PJ3251,12
PJ2893,43
PJ3343,19
PJ7067,57
PJ0353,12
PJ3028,28
PJ5444,28
PJ5095,4
PC1390,15
PJ6900,24
PJ4341,2
PP0268,2
PJ2032,6
PJ1342,21
PJ5048,2
PJ4837,3
PJ5712,7
PC0318,5
PJ0983,3
PJ1249,9
PJ4311,262
PJ6197,222
PJ2859,16
PC0340,129
PJ0945,18
PJ6624,40
PJ3903,13
PJ4310,6
PJ1883,63
PC1212,8
PJ2173,54
PJ2316,31
PJ5232,37
PP0447,10
PJ2828,15
PP0326,13
PJ1956,15
PJ6465,6
PJ3350,23
PJ1402,16
PJ2941,5
PJ7458,14
PJ5956,3
PJ5559,2
PJ1927,4
PJ0701,8
PJ0211,5
PJ2122,6
PJ7197,8
PJ3250,6
PJ4644,2
PJ0750,6
PC0734,8
PJ5446,6
PP0721,15
PC0663,2
PJ1802,4
PJ7082,49
PC0116,2
PC0746,8
PJ6152,2
PJ5744,18
PJ7097,92
PJ3440,15
PJ3270,11
PJ1630,10
PJ3773,2
PJ3490,2
PJ2951,10
PJ5008,33
PJ3671,7
PJ2592,14
PJ4041,80
PJ5678,4
PJ3140,6
PJ5736,6
PJ6171,2
PJ2767,10
PJ1418,7
PJ1285,17
PJ5900,8
PJ4932,2
PJ4745,6
PJ3537,2
PJ6851,4
PJ2191,8
PJ2963,9
PJ4734,127
PC0323,318
PJ0296,41
PC0627,17
PJ0790,11
PJ2766,47
PJ3666,24
PJ6321,19
PJ2107,15
PJ7126,14
PJ3978,9
PJ2294,8
PJ5320,4
PJ6000,16
PJ0741,8
PJ3164,4
PJ6572,17
PC0811,21
PJ2469,9
PP0430,17
PJ4403,10
PJ6398,22
PJ2980,4
PJ2124,16
PJ3304,7
PJ6229,67
PJ4359,20
PJ5462,7
PJ1491,4
PJ7420,4
PJ7174,4
PJ1136,2
PJ4138,4
PJ4414,4
PJ7288,2
PC0247,2
PC0576,6
PC1063,5
PJ4722,70
PJ6072,13
PJ3141,57
PC0423,4
PJ0247,28
PJ6659,120
PJ4510,14
PC0805,12
PJ2537,37
PJ3980,26
PJ3650,6
PJ4200,8
PJ3518,7
PC0787,6
PJ2665,6
PJ2688,20
PJ5843,7
PJ2106,36
PJ2632,9
PJ3548,9
PJ3959,5
PC0740,6
PJ4741,5
PJ5606,4
PJ6638,4
PJ4283,11
PJ5153,3
PJ1559,3
PJ1699,42
PC0589,49
PC1091,15
PJ3402,23
PJ4777,2
PC1085,18
PJ3290,16
PJ3911,6
PJ3201,52
PJ2689,8
PJ0297,16
PJ2274,27
PC0264,22
PJ6451,21
PP0592,10
PJ3586,30
PJ1082,21
PJ2524,12
PJ2506,16
PJ4085,4
PJ3674,16
PJ6747,10
PC0045,4
PC0143,9
PP0494,2
PJ3619,16
PJ6067,3
PJ1167,20
PJ1692,3
PJ0680,4
PJ0458,8
PP0284,4
PJ1959,6
PJ0534,93
PJ0684,156
PJ2674,21
PJ6838,22
PJ2546,27
PJ4640,12
PJ6336,49
PJ5030,37
PC0088,28
PJ1937,2
PC0547,8
PJ0535,12
PC0590,31
PC0415,33
PJ6721,16
PJ1467,52
PJ3528,15
PP0571,10
PJ5248,26
PJ5439,8
PJ3381,14
PJ6078,23
PJ5494,17
PJ2078,7
