Zip_Code,Crimes
64121,51
64127,9391
64117,2746
64112,1599
64138,2702
64113,806
64156,414
64139,173
64123,4545
99999,3492
64145,1326
64153,1709
64158,600
64137,2092
64136,322
64154,1608
64131,5451
64124,3994
64105,1659
64102,60
64111,7325
64114,3676
64161,359
64101,165
64110,4484
64126,2238
64128,4368
64106,6707
64155,2241
64151,2111
64152,973
64068,32
64129,2989
64118,3324
64134,7057
64133,4902
64116,1768
64130,12096
64109,4288
64107,74
64157,1141
64132,5076
64125,796
64108,3849
64146,193
64115,42
64120,946
64147,250
64119,3226
