Age,Crimes
31,1936
85,39
65,416
53,958
133,1
78,84
34,1611
101,1
81,67
28,2380
76,103
27,2339
26,2347
44,996
103,1
91,14
22,1878
93,6
47,1128
152,2
52,887
86,50
20,2383
40,1648
94,7
57,852
54,861
120,1
96,3
48,1015
19,1376
92,6
64,449
41,1218
43,1095
37,60179
61,580
88,19
202,4
72,160
35,1857
55,964
59,733
39,1537
23,2063
49,898
84,53
87,24
51,956
69,231
97,5
63,492
77,98
50,1116
45,1114
38,1737
82,60
80,68
25,2677
73,149
24,2189
70,229
62,480
95,7
29,2115
21,1660
32,1870
60,708
90,13
75,122
203,2
141,2
56,802
58,693
33,1880
83,52
71,204
68,255
242,1
42,1121
79,54
201,5
30,2632
99,128
66,266
46,1016
67,292
18,1610
74,122
36,1772
89,13
401,1
501,1
114,1
351,1
303,1
335,1
98,1
506,2
