Description,Crimes
Prostitution/Solicit,214
Possession/Sale/Dist,5001
Stealing from Buildi,4789
Aggravated Assault (,6839
Stalking,54
Stealing Auto Parts/,4348
Drunkenness,36
Liquor Law Violaton,119
Statutory Rape,77
Stealing From Auto,10384
Agg Assault - Drive-,591
Sex Offense -others,133
Intimidation,2114
Forcible Sodomy,444
Attempt Suicide by D,1
Family Offense,568
False Information to,298
Forged Checks,299
Credit/Debit/ATM Car,1102
Sexual Assault with,10
Failure to Return,66
non aggravated assau,2
False ID,9
Burglary - Non Resid,2358
Prostitution/Patroni,128
Attempt Suicide by C,32
Withhold Property,4
Weapons Law Violatio,923
Peeping Tom,6
Embezzlement,523
Impersonation - NOT,52
Resisting an Officer,2198
Stealing Auto Parts,2
Burglary - Residence,6191
Rape,612
Counterfeiting,141
Bribery,2
Misc Violation,4618
Arson,502
Suicide By Hanging,4
Loitering,15
Property Damage,11201
HOMICIDE/Non Neglige,296
Agg Assault - Domest,2917
Bomb Threat/Intimida,123
Forgery,473
Sex Off Indecent Exp,125
Trespassing,3677
Sex Off Misconduct,159
Extortion/Blackmail,36
Forcible Fondling,7
Hit and Run of a Per,10
Fraud/Confidence Gam,1469
Violation Ex Parte O,383
Promoting Prostituti,16
Auto Theft Outside S,1047
Attempt Suicide by P,4
Wire Fraud,230
stealing from buildi,3
Stolen Property OFFE,933
Non Aggravated Assau,6516
Sex Off Fondle - mol,407
Sex Off Follow/Entic,39
Hacking/Computer Inv,36
Attempt Suicide by O,15
Suicide by Other Mea,3
Stealing Bicycles,187
Dead Body,71
Stealing Shoplifting,6178
Strong Arm Robbery,1889
Stealing Coin Operat,34
Animal Cruelty,10
Casualty (includes a,11
Stealing All Other,4683
Identity Theft,1301
misc,1
Driving Under Influe,1030
Possession of Drug E,1722
Armed Robbery,3206
Violation Full Order,722
Suicide By Shooting,2
Interference with Cu,191
Disorderly Conduct,1714
Misc Offense,2
Non Agg Assault Dome,9655
Auto Theft,8991
Pornography,83
Kidnapping/Abduction,136
Stealing Pickpocket,172
Attempt Suicide by H,7
Suicide By Sleeping,2
Sex Off Indecent Con,62
Stealing Purse Snatc,81
Attempt Suicide by S,51
Family Disturbance,20
Attempt Suicide by J,3
Missing/Runaway Juve,5
Agg Assault,8
Passing Bad Checks,18
Gambling - Possessio,2
Animal Bite - Dog,1
Arson with Fire Bomb,4
Sex Off Incest,6
agg assault,3
Human Trafficking/Co,4
stealing,2
Justifiable Homicide,8
Attempt Suicide by G,1
Bombing (other than,2
URINATE IN PUBLIC,2
`,1
forgery,2
Curfew,8
AGG ASSAULT,2
misc violation,2
Accidental Drug Over,3
property damage,2
Dumping (littering),4
Possesion,2
Suicide By Jumping,1
TRASH DUMPING,2
Business Robbery,3
Aggravated Assault,3
Welfare Fraud,2
black mail,2
