Rep_Dist,Crimes
PJ5062,9
PJ6064,64
PJ4758,18
PP0285,348
PJ2711,41
PJ1354,19
PJ4079,57
PJ5862,17
PJ5142,30
PJ0892,13
PJ3172,85
PJ1325,34
PC0917,4
PJ2129,7
PJ2439,12
PJ4493,4
PJ2881,29
PJ2475,6
PJ2228,8
PC0427,2
PJ1744,17
PC0499,3
PJ4668,26
PJ1428,53
PC0267,31
PC0193,16
PJ2204,7
PJ5274,12
PJ3725,30
PJ4035,45
PJ4635,12
PC0806,21
PJ4056,22
PJ1453,10
PJ4552,2
PJ6116,7
PJ7212,16
PJ3063,2
PJ2072,13
PJ5389,7
PJ2622,6
PJ1047,11
PJ5523,5
PJ4192,2
PJ1964,18
PJ4246,69
PJ7144,9
PJ4207,84
PJ2900,19
PC0294,36
PC0972,2
PJ4957,2
PJ3676,10
PJ1437,26
PJ5424,15
PP0646,10
PJ6238,2
PJ0216,5
PJ4229,9
PJ1843,25
PJ0346,9
PJ0198,7
PJ2135,11
PJ6690,14
PJ0068,10
PJ4759,15
PJ5125,25
PJ5516,24
PP0370,17
PJ2385,14
PJ4307,23
PJ1865,10
PJ5487,4
PJ0062,4
PJ2577,32
PJ1564,14
PJ2587,6
PJ5992,2
PJ0240,11
PJ2095,4
PJ6775,9
PC0923,7
PJ6567,4
PJ1013,22
PJ3593,29
PC0646,8
PJ6190,28
PC0153,2
PJ4020,2
PJ3652,13
PJ1190,16
PJ0622,48
PJ4286,29
PJ2815,40
PJ0463,5
PJ1473,134
PC1114,8
PJ0033,22
PJ0499,6
PJ0694,48
PJ1503,13
PJ4007,11
PJ0383,15
PJ2157,24
PJ0530,30
PP0549,7
PJ0371,32
PJ0179,10
PJ0699,6
PJ4711,3
PJ3623,2
PC1157,7
PJ0393,4
PJ6480,4
PJ2576,2
PJ0994,2
PJ5662,43
PJ1438,22
PJ0517,75
PJ5296,24
PJ1619,18
PJ4724,22
PJ2111,16
PC0304,80
PJ2755,27
PP0265,33
PJ2155,10
PJ0807,8
PJ5131,6
PJ3408,19
PP0574,10
PJ6220,8
PJ0249,32
PJ3711,43
PC0609,13
PJ6120,4
PJ3476,4
PJ3744,8
PJ0232,9
PJ6826,30
PJ3870,22
PJ2533,45
PJ0469,40
PJ2664,22
PC0665,9
PJ4439,35
PJ6103,10
PJ6670,28
PC1349,22
PJ3123,8
PJ5590,30
PJ3054,20
PJ0174,6
PJ3208,10
PC1281,7
PJ2929,2
PJ0283,11
PJ3205,8
PJ4410,2
PC0952,6
PJ7014,84
PJ0679,13
PJ4317,59
PJ6445,47
PJ3560,35
PJ0407,70
PJ1987,15
PJ2605,29
PJ3322,23
PJ5394,6
PP0418,8
PJ3314,26
PJ2373,11
PJ2279,11
PJ7130,16
PJ1002,3
PJ5568,17
PJ1790,12
PJ0336,19
PJ3213,85
PJ0326,22
PJ6374,8
PJ2180,20
PJ1513,26
PJ2232,16
PJ1544,35
PJ1561,14
PJ7041,38
PC1293,14
PJ1350,41
PJ3477,10
PJ0498,29
PJ3388,13
PJ4132,13
PJ4703,9
PJ0969,41
PC1237,10
PJ1793,8
PJ7093,1
PJ5312,14
PJ7232,13
PJ4624,4
PJ2318,3
PJ2241,35
PJ1466,39
PJ0261,36
PJ1092,57
PJ6370,8
PJ2026,12
PJ4949,2
PJ3100,20
PC1160,44
PJ6396,9
PJ0230,24
PJ6127,10
PJ3268,11
PJ3274,16
PJ3446,13
PJ3723,5
PJ2287,27
PJ0899,5
PJ0381,8
PJ0369,6
PJ7362,2
PJ1939,2
PJ6488,8
PJ1432,6
PC0580,2
PJ5636,25
PJ7207,9
PJ5899,7
PJ2655,88
PJ6754,10
PC1329,95
PJ2530,11
PJ4909,4
PC0752,10
PJ4073,47
PJ4099,22
PJ0967,29
PJ3420,13
PJ3094,24
PJ6002,8
PJ6198,6
PJ4651,31
PJ3148,11
PJ2595,8
PJ0672,12
PJ5025,46
PJ6558,62
PJ3624,6
PJ4581,35
PJ1698,8
PJ1625,51
PC0087,5
PJ3522,20
PJ7096,2
PC0920,7
PJ1591,26
PJ6829,8
PJ5795,1
PJ3425,4
PC0494,8
PC0034,3
PJ1195,4
PC1268,6
PJ7412,6
PJ1675,61
PJ6347,26
PJ0727,16
PJ4386,10
PJ5047,5
PC0299,7
PJ3432,46
PJ0402,2
PC0913,25
PJ0786,18
PJ2678,3
PJ3914,11
PJ6101,8
PJ4009,19
PC1258,17
PJ1931,12
PJ2435,7
PC0384,8
PJ7073,4
PJ2160,44
PJ2682,7
PJ7379,10
PJ0476,14
PJ6842,2
PJ3443,23
PJ1226,3
PJ3895,2
PJ0633,38
PJ6534,65
PJ3597,27
PJ7081,260
PC0037,6
PC0844,58
PJ4281,2
PJ4621,20
PJ5414,6
PJ7290,3
PJ1837,45
PJ2186,5
PJ2399,15
PJ3448,32
PJ4295,4
PJ2230,12
PJ0449,2
PJ4625,3
PJ2997,20
PJ6050,13
PJ4653,48
