Zip_Code,Crimes
64121,51
64127,9876
64117,2708
64112,1587
64138,2674
64113,696
64156,512
64139,149
64123,4036
99999,2358
64145,1310
64153,1211
64158,542
64137,2227
64136,323
64154,1870
64131,5526
64124,4435
64105,1827
64102,140
64114,3926
64111,7795
64161,446
64101,140
64110,4268
64126,2146
64128,4595
64106,6243
64155,1951
64151,1837
64152,714
64104,35
64129,3057
64118,3197
64134,6200
64133,4868
64116,1610
64130,10787
64109,4385
64107,47
64157,1226
64149,41
64132,4921
64125,656
64108,5078
64146,119
64120,989
64147,237
64119,2684
