Age,Crimes
31,1884
85,39
65,363
53,819
78,63
34,1760
81,46
28,2167
76,76
27,2020
26,2125
44,972
91,11
22,1629
93,6
47,878
52,767
86,24
20,1624
40,1525
94,6
57,749
54,755
96,4
48,939
19,1257
92,11
64,411
41,1233
43,982
37,27787
61,576
88,25
72,156
35,1766
59,672
55,692
39,1486
23,1733
49,873
84,29
87,29
51,793
69,220
97,2
63,456
77,96
50,921
45,1063
38,1542
82,49
80,36
25,2175
73,128
24,1850
70,223
62,469
29,2008
21,1606
32,1711
60,605
90,14
75,116
56,749
58,747
33,1701
83,45
71,164
68,242
42,1071
79,69
30,2255
66,281
46,826
67,298
18,1230
74,103
36,1563
89,16
95,6
99,42
101,1
353,1
231,1
