Description,Crimes
Purse-Snatching,47
Theft of Vehicle Parts and Accessories,1364
Curfew / Loitering / Vargancy Violations,1
Drunkenness,3
Statutory Rape,50
Vandalism/Destruction of Property,4157
Liquor Law Violations,25
Intimidation,1141
Forcible Sodomy,216
All Other Offenses,2562
Simple Assault,7528
Stolen Property Offenses,1036
Theft From Coin-Operated Machine,16
Assisting or Promoting Prostitution,16
Sexual Assault With An Object,9
Robbery,2169
Embezzlement,293
Hacking / Computer Invasion,12
Commercial Sex Acts,12
Bribery,2
Pornography / Obscene Material,17
Manslaughter by Negligence,4
Arson,164
Counterfeiting / Forgery,496
Bad Checks,28
Kidnapping / Abduction,68
Incest,2
Drug / Narcotic Violations,1266
Shoplifting,3229
Forcible Fondling,166
Credit Card / Automatic Teller,458
Welfare Fraud,15
Pocket-Picking,49
Wire Fraud,220
DV Related Suicide,6
Trespass of Real Property,1984
False Pretenses / Swindle,505
Purchasing Prostitution,19
Animal Cruelty,4
All Other Larceny,2656
Forcible Rape,292
Uknown,36282
Drug Equipment Violations,243
Identity Theft,611
Murder,176
Prostitution,49
Justifiable Homicide,2
Burglary/Breaking and Entering,2973
"Family Offenses, Nonviolent",364
Disorderly Conduct,631
Theft From Motor Vehicle,3400
Driving Under the Influence,436
Extortion / Blackmail,13
Impersonation,15
Motor Vehicle Theft,3765
Weapon Law Violations,321
Betting / Wagering,1
Theft From Building,1708
Aggravated Assault,5166
