Rep_Dist,Crimes
PP0285,177
PJ5142,25
PJ3195,8
PJ6145,1
PJ2439,13
PJ4079,49
PJ2228,2
PC0056,10
PJ0892,7
PJ2129,18
PJ4069,12
PJ4758,9
PJ2001,16
PJ1325,8
PJ2711,16
PJ5862,11
PJ6064,14
PJ1354,9
PJ2072,8
PJ4035,31
PJ4927,18
PJ2452,2
PJ3725,26
PJ4056,18
PJ4635,7
PJ5274,8
PJ4668,3
PJ7212,7
PJ1047,4
PC0267,35
PJ1744,1
PJ1428,33
PJ1856,10
PJ0198,1
PJ2135,5
PJ4207,4
PJ3847,13
PJ1108,8
PC0294,23
PJ4246,59
PJ5311,5
PJ0216,5
PJ4229,7
PC0972,2
PJ5424,6
PJ4971,3
PJ1437,12
PJ2856,22
PJ7144,3
PJ6690,8
PJ6247,5
PJ4759,5
PJ1013,27
PJ2577,30
PJ4307,9
PJ5992,6
PJ6807,2
PJ0062,12
PJ4832,2
PJ6775,1
PJ6190,19
PJ3593,5
PJ0152,1
PJ5516,6
PJ5125,15
PJ6035,4
PJ4583,2
PJ1865,2
PJ3321,45
PJ1473,100
PJ0622,20
PJ0371,16
PJ2815,16
PJ0033,14
PJ3652,6
PJ0288,13
PJ4007,6
PJ1679,4
PJ0499,10
PP0549,8
PJ1503,3
PJ0383,14
PJ6480,4
PC1188,1
PJ0994,5
PJ6193,1
PJ1438,12
PP0265,12
PJ5662,8
PJ0517,28
PJ6372,2
PJ0249,12
PC0304,41
PJ2155,4
PJ3408,6
PJ3711,8
PJ3870,27
PJ6826,23
PC1016,12
PJ2490,5
PJ1160,14
PC0837,7
PJ3744,2
PJ3340,7
PJ1849,7
PP0574,26
PJ2111,6
PJ5994,1
PJ1575,1
PJ6242,1
PJ4410,5
PC1349,9
PJ2664,26
PJ2533,27
PJ4439,39
PJ5590,21
PJ3123,5
PC0665,3
PJ2929,1
PJ0469,13
PJ0174,3
PJ6308,2
PJ3061,5
PJ3054,22
PJ5943,1
PJ3208,3
PJ1983,14
234,25
PJ0679,13
PJ4317,32
PJ7014,17
PJ7130,19
PJ2605,14
PJ2279,8
PC0474,14
PC1035,3
PJ3560,7
PJ1987,14
PJ0336,10
PJ1002,1
PJ3799,6
PJ1544,27
PJ2169,199
PJ1793,4
PJ4707,28
PJ0969,9
PJ3388,10
PJ4703,3
PJ2318,6
PJ4132,1
PJ1513,4
PC1293,12
PJ0314,7
PJ3477,3
PJ7041,10
PJ1350,17
PJ3268,7
PJ0899,15
PJ1939,4
PJ3274,8
PJ4949,7
PJ0369,4
PJ6488,10
PJ3157,12
PJ5636,12
PJ1466,27
PJ6396,11
PJ6433,7
PJ1432,14
PC1160,7
PJ2241,9
PJ2206,4
PJ2862,7
PC0886,9
PJ0261,12
PJ7207,11
PJ4073,13
PJ0029,85
PJ2595,58
PC0752,4
PJ0809,1
PJ4651,19
PJ4099,19
PC1329,39
PJ2713,6
PJ2752,4
PJ1030,1
PJ3420,15
PC0494,7
PJ0974,9
PJ5025,30
PJ6558,17
PJ3522,12
PC0920,4
PC0087,2
PJ4859,3
PJ1625,6
PJ1698,15
PJ2552,2
PJ3432,20
PJ4009,34
PJ2678,20
PJ6842,4
PJ0476,10
PJ3800,4
PJ2160,8
PJ1675,28
PJ6347,22
PJ3895,6
PJ4960,5
PC1268,11
PC0913,9
PJ0399,4
PJ2682,10
PJ0402,14
PJ4989,2
CITYSTREET,3
PJ7073,3
PJ7412,3
PJ1931,6
PP0694,4
PJ6101,1
PJ0633,22
PJ1235,5
PJ2399,4
PJ1539,6
PJ4281,4
PJ3448,17
PJ7081,108
OAK,3
PJ2997,2
PC0844,14
PJ2250,5
PJ4621,11
PJ1837,11
PJ6534,35
PJ1043,11
PJ4653,13
PJ5341,73
PP0583,28
PC1170,3
PJ4355,23
PJ1973,35
PJ2391,4
PJ3135,11
PC0730,4
PC0369,3
PJ2847,15
PJX006,12
PJ5361,3
PJ3348,12
PJ0262,10
PJ0854,19
PJ1982,5
PJ0722,41
PJ4889,93
PC0303,119
PJ2712,13
PJ3062,27
PJ0921,1
PJ6068,2
PJ4125,9
PC0197,4
PJ3105,10
PJ4512,9
PJ1482,2
PJ6437,13
PJ1617,3
PJ5252,5
PJ2019,3
PJ4336,2
PJ3561,13
PJ3036,26
PC0061,4
PJ3390,5
PJ0433,37
PJ3608,7
PJ5829,16
PP0330,2
PJ3137,26
PJ3221,6
PJ1621,2
PJ2288,8
PJ4447,16
PJ7004,8
PC1199,65
PC1204,14
PJ4933,25
PC1040,26
PC1144,8
PC0937,16
PJ3160,6
PJ3533,13
PJ2707,6
PJ6388,5
PJ0349,11
PJ1574,3
PJ5694,2
PJ1103,6
PJ5680,21
PJ0743,10
PC0074,13
PJ4357,5
PJ6785,5
PJ1449,14
PJ1620,5
PJ7080,45
PJ1978,5
PJ6787,76
PJ6731,4
PJ5456,5
PJ1297,8
PJ3857,9
PJ1807,11
PP0704,8
PJ4182,46
PJ3308,16
PJ0668,29
PC1132,5
PJ4319,5
PJ4782,10
PJ1840,5
PJ0900,6
PJ3620,7
PJ7206,17
PJ3756,3
PJ4331,4
PJ2627,1
PJ1142,2
PC0667,2
PP0376,1
PJ4240,5
PJ2567,1
PJ5017,2
PJ2448,1
PJ0580,15
PJ5195,10
PJ3872,1
PP0473,2
PJ2052,5
PP0478,1
PJ4681,24
PJ0983,21
PJ1868,18
PC1390,17
PJ0353,11
PJ5712,14
PJ7247,66
PJ0888,10
PJ2893,22
PJ1342,22
PJ5444,2
PJ1745,8
PC0318,1
PJ6900,14
PJ7040,8
PJ7067,16
PJ3251,2
PJ6782,6
PJ0421,7
PC0951,4
PJ2839,3
PJ2032,1
PC0340,67
PJ2828,36
PJ4311,118
PJ2316,14
PJ7413,14
PP0721,9
PJ2173,10
PJ5446,12
PP0326,12
PJ2427,2
PJ3350,12
PJ7458,25
PJ5333,2
PJ1249,4
PJ5559,10
PJ0945,3
PJ0701,10
PJ3250,7
PJ0211,6
PJ6197,44
PJ5232,1
PJ5008,9
PJ4041,68
PJ7082,37
PJ2951,7
