Zip_Code,Crimes
64127,6580
64117,1959
64112,1376
64138,1664
64113,392
64156,249
64139,99
64123,2153
64145,982
64153,1075
64158,635
64137,1709
64136,149
64154,1573
64124,3055
64131,3705
64105,1440
64102,107
64114,2611
64111,4910
64161,435
64101,94
64110,2738
64126,1417
64128,3016
64079,136
64106,4496
64155,1689
64086,81
64151,1521
64068,249
64152,595
64129,2043
64118,2257
64134,4296
64050,122
64133,4080
64116,1385
64130,6177
64109,2631
64157,1151
64132,3889
64125,575
64108,3383
64146,91
64120,916
64147,274
64030,120
64119,2183
