Age,Crimes
31,1940
85,32
65,343
53,765
78,95
34,1733
81,53
28,2051
76,79
26,1968
27,2071
44,988
91,9
22,1632
93,8
47,849
52,882
86,26
20,1475
40,1681
94,4
57,723
54,684
48,888
19,1199
92,12
64,457
41,1322
43,1101
37,21955
61,578
88,21
72,140
35,2027
55,823
59,689
23,1817
39,1502
49,885
84,32
87,27
51,792
69,216
63,438
77,78
50,961
45,1089
38,1519
82,38
80,63
25,2161
73,143
24,1846
70,217
62,564
95,6
29,2107
21,1664
98,1
32,1870
60,623
90,19
75,117
56,716
58,703
33,1754
83,49
71,193
68,248
42,1181
79,65
30,2537
99,3
66,359
67,314
46,911
18,1149
74,123
36,1712
89,9
96,3
97,1
