Description,Crimes
Purse-Snatching,32
Theft of Vehicle Parts and Accessories,2623
Curfew / Loitering / Vargancy Violations,36
Drunkenness,11
Statutory Rape,69
Vandalism/Destruction of Property,6965
Liquor Law Violations,16
Intimidation,1759
Forcible Sodomy,319
All Other Offenses,3056
Simple Assault,10845
Stolen Property Offenses,894
Theft From Coin-Operated Machine,31
Sexual Assault With An Object,24
Robbery,2940
Embezzlement,315
Hacking / Computer Invasion,24
Commercial Sex Acts,9
Pornography / Obscene Material,51
Arson,291
Counterfeiting / Forgery,604
Bad Checks,23
Kidnapping / Abduction,57
Incest,6
Drug / Narcotic Violations,1149
Shoplifting,4612
Forcible Fondling,178
Credit Card / Automatic Teller,629
Welfare Fraud,8
Pocket-Picking,58
Wire Fraud,340
DV Related Suicide,6
Trespass of Real Property,2871
Involuntary Servitude,2
False Pretenses / Swindle,934
Purchasing Prostitution,1
Animal Cruelty,4
All Other Larceny,2989
Forcible Rape,487
Uknown,7970
Drug Equipment Violations,209
Identity Theft,665
Murder,412
Prostitution,22
Justifiable Homicide,8
Burglary/Breaking and Entering,4221
"Family Offenses, Nonviolent",464
Disorderly Conduct,1118
Theft From Motor Vehicle,5331
Driving Under the Influence,895
Extortion / Blackmail,18
Impersonation,18
Motor Vehicle Theft,6236
Weapon Law Violations,588
Betting / Wagering,1
Theft From Building,2242
Aggravated Assault,8440
Assisting or Promoting Prostitution,2
