Rep_Dist,Crimes
PJ2439,5
PP0285,119
PJ1354,15
PJ4079,26
PJ5862,18
PC0056,9
PJ2711,12
PJ4493,3
PJ6064,10
PC0917,2
PJ2475,3
PJ1021,9
PJ0892,6
PP0639,1
PJ0187,2
PJ3195,10
PJ2072,12
PC0267,33
PC0806,17
PJ4035,78
PJ1744,2
PJ1428,12
PJ3725,29
PJ4668,9
PJ1453,1
PJ1047,3
PJ3063,1
PJ4927,8
PJ4056,4
PJ4552,4
PC1184,9
PJ5274,4
PJ6116,12
PJ3563,12
PJ4635,5
PC0193,1
PJ5523,1
PC0294,22
PJ1108,4
PJ2856,25
PJ1843,7
PJ4207,28
PJ7144,4
PJ5311,29
PJ1437,5
PJ4897,12
PJ0216,2
PJ1964,20
PJ3676,21
PJ4815,1
PJ2135,3
PJ0068,7
PC0092,8
PJ4583,8
PJ1564,9
PJ1013,13
PJ5487,1
PJ1865,2
PJ5516,5
PJ4832,2
PJ2385,7
PJ6190,18
PP0688,4
PJ4307,4
PP0370,11
PJ3593,6
PJ0062,16
PJ2577,15
PJ5125,14
PJ4721,1
PJ3321,6
PJ0371,18
PC0561,2
PJ1473,93
PJ0994,4
PJ6193,11
PJ0694,6
PJ0033,21
PJ4286,11
PJ2815,8
PJ0499,12
PJ0288,11
PJ0383,17
PJ1503,14
PP0438,4
PC1114,13
PJ4711,1
PJ1190,2
PC1157,1
PJ1679,5
PJ0530,3
PJ3652,6
PJ4007,8
PJ0149,7
PJ3870,11
PJ4724,15
PJ6242,17
PJ3340,4
PJ0232,4
PC0304,37
PJ3469,4
PJ1619,15
PJ1160,17
PJ3408,5
PJ3476,4
PP0265,10
PJ5994,5
PJ5296,12
PJ6826,17
PJ1438,21
PJ5662,19
PJ0807,3
PJ0985,9
PP0574,20
PJ1849,9
PJ0517,2
PJ2490,6
PJ3210,5
PJ5131,7
PJ1575,5
PJ0249,8
PJ2755,3
PJ3711,8
PJ2533,26
PJ6103,9
PJ3061,17
PJ5590,9
PJ3054,8
PC1281,12
PJ3123,6
PJ4439,14
PJ7106,4
PJ6184,7
PP0708,4
PJ2664,46
PJ3208,26
PJ3205,5
PC1349,5
PJ3535,3
PJ0283,2
PJ1393,2
PJ1002,8
PJ4317,29
PJ0679,17
PJ3314,7
PC0119,2
PC1035,1
PJ6761,4
PJ3560,11
PJ7127,7
PJ3501,4
PC0474,2
