Zip_Code,Crimes
64127,5518
64117,1923
64112,1899
64138,1711
64113,450
64156,323
64139,113
64123,1607
64145,779
64153,1013
64158,417
64137,1685
64055,51
64136,222
64154,1452
64131,3568
64124,3012
64105,1374
64102,139
64111,5484
64114,2761
64161,434
64101,116
64110,2600
64126,1227
64128,3448
64106,3330
64155,1408
64151,1601
64152,446
64068,78
64129,2145
64118,2256
64134,4334
64133,3484
64116,1451
64130,6043
64109,2429
64157,822
64149,25
64132,3989
64125,639
64108,3220
64146,102
64120,1025
64147,202
64030,81
64119,1666
6410,26
