Age,Crimes
31,2046
85,28
65,432
53,771
78,84
34,1786
81,61
28,2108
76,85
27,2120
26,1940
44,1097
91,18
22,1822
93,7
47,959
52,832
86,32
20,1474
40,1552
94,4
57,740
54,712
48,822
19,1240
92,7
64,432
41,1541
43,1196
37,22989
61,580
88,18
72,171
35,1847
55,776
59,714
23,1952
39,1496
49,898
84,34
87,22
51,860
69,213
63,474
77,81
50,1033
45,1081
38,1581
82,37
80,68
25,2149
73,160
24,1878
70,199
62,518
95,9
29,2006
21,1764
32,1937
60,644
90,10
75,112
56,758
58,711
33,1935
83,34
68,246
71,193
42,1306
79,71
30,2617
99,7
66,366
46,929
67,322
18,1050
74,137
36,1716
89,17
96,4
97,1
