Description,Crimes
Purse-Snatching,43
Theft of Vehicle Parts and Accessories,3438
Drunkenness,1
Statutory Rape,95
Vandalism/Destruction of Property,7480
Liquor Law Violations,23
Intimidation,1746
Forcible Sodomy,385
All Other Offenses,3230
Simple Assault,11160
Stolen Property Offenses,1072
Theft From Coin-Operated Machine,11
Assisting or Promoting Prostitution,4
Robbery,2895
Embezzlement,288
Hacking / Computer Invasion,26
Commercial Sex Acts,2
Pornography / Obscene Material,16
Arson,216
Counterfeiting / Forgery,555
Bad Checks,5
Kidnapping / Abduction,71
Incest,13
Drug / Narcotic Violations,1308
Shoplifting,4458
Forcible Fondling,218
Credit Card / Automatic Teller,589
Welfare Fraud,9
Pocket-Picking,42
Wire Fraud,393
Trespass of Real Property,3257
False Pretenses / Swindle,794
Purchasing Prostitution,18
Animal Cruelty,8
All Other Larceny,3200
Forcible Rape,499
Uknown,7436
Drug Equipment Violations,290
Identity Theft,586
Murder,357
Prostitution,47
Burglary/Breaking and Entering,4327
"Family Offenses, Nonviolent",498
Disorderly Conduct,1102
Theft From Motor Vehicle,5919
Driving Under the Influence,1061
Extortion / Blackmail,19
Impersonation,21
Motor Vehicle Theft,6374
Weapon Law Violations,612
Theft From Building,2071
Aggravated Assault,8381
DV Related Suicide,2
Justifiable Homicide,3
Curfew / Loitering / Vargancy Violations,1
Sexual Assault With An Object,2
Sports Tampering,2
