Rep_Dist,Crimes
PJ2881,19
PP0285,110
PJ6064,26
PJ4758,11
PJ2001,17
PJ1354,29
PC0056,7
PJ4079,43
PJ1325,40
PJ3439,8
PJ5862,18
PC0917,3
PJ2439,4
PC0427,5
PJ3172,2
PJ1021,1
PC0806,17
PC0267,27
PJ3725,10
PC1184,4
PJ4035,38
PJ5274,16
PJ6266,6
PC0193,6
PJ2622,4
PJ5523,1
PJ1428,14
PJ3563,13
PJ4927,30
PJ4635,10
PJ2452,4
PJ1744,3
PJ4668,28
PJ3063,5
PC0499,2
PJ2204,2
PJ4056,10
PP0362,2
PJ4192,2
PC0294,7
PJ1964,29
PJ4246,24
PJ3676,10
PJ1108,10
PJ3847,25
PJ4897,12
PJ5311,12
PJ2856,33
PJ2900,13
PJ0346,2
PJ6112,15
PJ4207,50
PJ2135,5
PJ1843,11
PJ0216,3
PJ5058,1
PJ4086,2
PJ1437,6
PJ6247,1
PJ6585,2
PJ4815,6
PJ6690,6
PJ4307,104
PJ2577,22
PJ5516,6
PJ6190,27
PJ0057,2
PJ5992,5
PJ6775,2
PJ0068,9
PJ4244,4
PC0092,1
PJ1564,11
PJ1013,14
PJ0240,6
PC0923,4
PP0688,2
PJ0062,23
PJ4832,6
PJ4693,3
PJ4721,1
PJ0530,13
PJ0694,20
PJ6193,1
PJ0499,26
PJ1473,69
PC1157,5
PJ0033,19
PC1114,26
PJ1503,25
PJ4315,7
PJ3321,34
PJ4711,4
PJ4007,3
PJ3652,6
PJ0699,8
PJ5303,6
PJ5132,18
PJ0383,2
PJ0622,8
PP0709,2
PJ0371,15
PJ3623,9
PJ4286,6
PJ6480,2
PJ1679,3
PJ3870,23
PJ4724,17
PJ1575,9
PJ0985,8
PJ2755,9
PJ5994,14
PJ6242,6
PJ1619,10
PC0304,60
PJ6220,5
PJ1438,9
PJ5662,58
PJ5296,36
PJ3210,14
PJ1160,24
PJ3711,4
PJ7313,1
PJ3408,2
PJ3476,6
PP0574,13
PJ0232,11
PJ0249,21
PJ5131,29
PJ0807,5
PJ3744,7
PJ3469,7
PJ1849,8
PJ2111,3
PP0265,20
PJ6372,2
PJ6826,20
PJ3340,23
PJ4410,17
PJ2533,34
PJ0469,6
PJ0283,6
PJ2664,32
PJ3054,6
PC1349,8
PC1209,3
PJ3061,7
PJ2929,3
PC1281,6
PJ6670,3
PJ3208,17
PJ6103,5
PJ3535,5
PJ6308,1
PJ0120,5
PJ0336,17
PC0123,7
PC0474,8
PJ3560,24
PJ7127,11
PJ3322,4
PJ0407,29
PJ1983,9
PJ4317,32
PJ3799,27
PJ0679,17
PJ1987,9
PJ6537,5
PJ6445,36
PJ7014,3
PJ3198,3
PJ2373,3
PJ3314,3
PP0418,1
PJ2605,10
PJ2279,6
PC0119,2
PJ3501,5
PJ1544,26
PJ0326,4
PJ1561,4
PJ0498,34
PJ1350,73
PJ2169,211
PJ7232,5
PJ0969,14
PJ7041,28
PJ5312,11
PJ3388,6
PJ4100,5
PJ2180,4
PJ1513,11
PJ4707,10
PJ3477,2
PJ3268,15
PJ5636,8
PJ1092,25
PJ0230,20
PJ6396,9
PJ2241,27
PC0886,2
PJ2862,12
PJ3274,24
PJ0008,3
PJ1432,17
PJ6433,10
PJ0381,9
PJ2206,6
PJ1466,44
PJ3157,4
PJ4949,3
PJ3446,15
PJ1820,5
PC1160,12
PJ2287,17
PC0500,1
PJ3100,15
PJ5595,4
PJ2026,2
PJ0261,22
PJ0369,1
PJ2595,32
PJ0029,38
PJ3148,9
PJ0967,8
PC1329,23
PJ0344,2
PJ4073,17
PJ3420,11
PJ6754,8
PJ0809,2
PJ3094,20
PJ2713,13
PJ2655,42
PJ4651,11
PJ6053,2
PJ4099,18
PJ2752,8
PJ4909,10
PJ2098,7
PJ1625,17
PP0240,1
PJ4859,2
PJ1698,5
PJ6829,4
PJ3425,6
PJ6558,14
PJ5025,34
PJ3522,16
PJ3624,5
PC0920,10
PJ1591,6
PJ7096,2
PC0494,6
PJ4581,5
PJ6347,46
PJ0817,1
PJ4009,14
PJ2678,15
PJ3800,2
PJ3432,40
PC1268,11
PJ0399,16
PJ0727,19
PJ2435,13
PJ0476,6
CITYSTREET,5
PJ0786,2
PJ6101,5
PJ5047,1
PJ3914,4
PJ7412,13
PJ1509,7
PJ1675,36
PC0913,6
PJ6701,4
PJ0402,9
PJ7379,13
PJ1931,2
PJ2560,2
PJ7081,198
PJ1043,10
PJ6534,42
PJ5414,3
PJ3597,9
PJ4653,22
PJ4295,3
PJ2399,2
PJ6342,3
PJ2186,2
PJ2997,4
PJ1539,7
PJ6642,3
PJ2230,9
PC0844,25
PJ4621,13
PJ4281,3
PJ7290,7
PJ1837,19
PJ3448,10
PJ0633,26
PJ1235,2
PJ5361,17
PC1170,3
PJ1489,17
PJ0262,3
PJ5341,64
PP0583,19
PJ3348,29
PC0369,7
PJ4355,10
PJ0854,27
PJ1982,6
PJ0091,1
PJ6596,9
PJ2847,12
PJ6675,10
PJ1973,2
PC0303,62
PJ0722,81
PJ1617,16
PJ3561,10
PJ0433,33
PJ6068,18
PJ4512,12
PJ6310,6
PJ4889,153
PC1243,21
PP0585,9
PJ2696,10
PJ3608,9
PC0197,3
PJ6679,1
PJ3390,9
PC0558,1
PJ3036,5
PJ3105,10
PJ4336,1
PJ4010,13
PJ0921,14
PJ6437,14
PJ5448,13
PJ5829,26
PJ1626,9
PJ0358,4
PJ2288,17
PJ3137,43
PJ5231,22
PC1203,2
PJ4447,10
PJ2433,6
PC0181,13
PJ6176,2
PC1279,7
PJ7004,8
PJ4619,5
PJ3221,15
PJ1726,1
PJ4933,54
PC1199,10
PJ3533,9
PC1040,29
PJ0349,22
PJ2084,5
PJ2863,3
PC0136,2
PC0937,8
PP0720,1
PJ0509,8
PJ1328,1
PJ5400,4
PJ6388,4
PJ3462,6
PJ2637,1
PJ4182,65
PJ4357,17
PJ2028,3
PJ1297,14
PJ3308,37
PJ0668,36
PJ4782,9
PJ4515,3
PJ7080,21
PJ0743,17
PJ1978,19
PJ6785,49
PJ4319,7
PJ4906,4
PJ1664,1
PC0716,4
PJ3857,14
PJ6787,10
PJ1807,7
PC1195,6
PC0074,10
PJ5694,3
PJ0900,4
PJ7206,12
PJ1840,2
PJ5195,18
PJ3719,6
PJ3620,11
PJ2618,12
PJ2627,12
PJ2413,4
PJ5017,6
PC1328,7
PJ0682,15
PJ1917,3
PJ0542,4
PJ0580,8
PJ6088,1
PJ1142,7
PJ2052,2
PC1179,3
PJ6900,15
PJ2123,8
PJ0353,14
PC1390,19
PJ7247,88
PJ0421,5
PJ7067,22
PJ1342,6
PJ5712,5
PJ3343,9
PJ0983,20
PJ0888,14
PJ1868,6
PJ7040,2
PJ4681,9
PJ3251,7
PP0268,3
PJ2893,12
PJ5193,8
PJ5444,17
PJ1745,8
PJ4521,1
PJ7458,37
PC0340,63
PJ2828,33
PJ1802,13
PJ4311,77
PJ6197,38
PP0326,19
PJ2316,27
PJ2173,39
PJ6465,8
PJ6624,2
PJ0701,13
PJ3350,18
PJ5559,1
PP0721,5
PJ3953,1
PC0734,9
PJ3250,6
PC1212,2
PJ5608,7
PJ5333,1
PJ2941,7
PJ7455,3
PJ7413,4
PJ6092,4
PJ5956,1
PJ2859,15
PJ4745,11
PJ5008,56
PJ3671,3
PJ7082,11
PJ4041,47
PJ7097,17
PJ2951,5
PJ3140,5
PJ3537,2
PJ1285,27
PJ1254,1
PJ3270,10
PJ5678,2
PJ1418,4
PJ3440,3
PJ4932,13
PC0323,129
PJ4359,39
PJ3164,15
PJ6229,32
PJ4734,64
PJ4022,11
PC0247,2
PJ2980,5
PJ6082,8
PJ2766,13
PJ6398,12
PJ6572,10
PC0576,5
PJ0296,25
PJ6334,8
PC0235,2
PJ0741,5
PJ6321,5
PJ0997,2
PJ2294,24
PJ6405,7
PC0627,2
PJ2963,14
PJ2191,4
PJ3666,6
PC0787,2
PJ4510,19
PJ6659,78
PP0602,2
PJ3980,7
PJ4200,8
PC0740,2
PJ3399,1
PJ4722,37
PJ6278,4
PJ2537,12
PJ5153,2
PJ3518,3
PJ2106,11
PJ3141,20
PJ6638,24
PJ3548,15
PJ1559,1
PJ2632,11
PJ2688,11
PJ2339,3
PJ0247,8
PC0805,3
PJ6072,9
PJ4283,9
PJ1082,55
PC1091,9
PJ1632,8
PJ0297,22
PJ2274,23
PJ5285,6
PC0264,31
PJ3201,34
PC0589,23
PJ6451,4
PJ6747,16
PJ3586,16
PJ2506,22
PJ2074,16
PJ3910,1
PJ4701,2
PJ3619,5
PP0477,1
PJ2524,4
PJ3674,21
PJ1167,6
PJ2689,11
PJ1699,7
PJ1959,4
PJ6336,14
PJ1467,35
PJ0534,26
PJ0684,102
PJ6838,20
PC0415,11
PJ3381,12
PJ2674,5
PJ0535,7
PJ4509,7
PJ1025,9
PC0988,2
PJ3528,18
PJ0946,20
PP0353,7
PP0603,3
PJ5494,17
PJ5350,2
PJ2687,6
PJ7368,2
PJ7329,4
PC0547,2
PC0590,17
PP0590,7
PJ2149,7
PC0496,2
PJ6721,5
PC1206,2
PJ2546,9
PJ4640,2
PP0571,12
PC0554,12
PC0254,12
PP0385,1
PC0149,19
PJ5846,8
PJ0723,16
PJ0966,16
PJ0777,18
PJ5592,18
PJ6988,6
PJ0545,7
PP0457,1
PJ0312,8
PJ1604,5
PJ6191,21
PJ5093,3
PJ3261,5
PJ5507,4
PJ6907,16
PJ6733,4
PJ2341,9
PJCX01,2
PJ3626,4
PC1134,3
PJ0846,6
PC0144,3
PJ4151,16
PJ3485,100
PJ0022,4
PJ2809,7
PJ2485,22
PC0373,5
PJ5133,4
PJ2276,4
PJ3527,9
PJ1657,6
PJ2434,3
PJ4106,20
PJ4130,3
PP0260,1
PJ0027,7
PJ3317,6
PJ3410,15
PJ6578,7
PJ4618,18
PJ3358,16
PC1027,7
PJ0292,2
PJ3818,4
PJ5950,3
PJ6513,2
PC0976,4
PJ5019,9
PJ1436,5
PJ2947,2
PJ3179,15
PJ0366,34
PJ0649,48
PJ1985,24
PJ2159,4
PJ6545,5
PJ2998,9
PC0489,1
PJ6501,14
PJ7026,50
