Age,Crimes
31,2291
85,33
65,498
53,787
78,123
34,1964
81,57
28,2163
76,122
27,2089
26,2047
44,1167
22,1852
93,6
47,1043
52,921
86,40
20,1477
40,1691
94,6
57,740
54,803
48,932
19,1140
92,7
64,463
41,1525
43,1370
37,1786
61,653
88,29
72,206
35,1952
55,870
59,719
23,1986
39,1584
49,942
84,25
87,27
51,979
69,288
97,4
63,553
77,111
50,1026
45,1197
38,28106
82,52
80,80
25,2319
73,167
24,2105
70,255
62,590
29,2104
21,1734
60,697
32,2138
90,8
75,147
56,758
58,735
33,1960
83,44
71,222
68,358
42,1525
79,113
30,2501
99,10
66,398
46,1088
67,346
18,997
74,162
36,1783
89,18
91,6
96,4
95,3
98,2
