Description,Crimes
Purse-Snatching,27
Theft of Vehicle Parts and Accessories,3644
Curfew / Loitering / Vargancy Violations,2
Statutory Rape,76
Vandalism/Destruction of Property,8020
Liquor Law Violations,17
Intimidation,2043
Forcible Sodomy,314
All Other Offenses,3296
Simple Assault,12308
Stolen Property Offenses,905
Theft From Coin-Operated Machine,14
Robbery,2818
Embezzlement,289
Hacking / Computer Invasion,22
Commercial Sex Acts,13
Pornography / Obscene Material,47
Arson,237
Counterfeiting / Forgery,697
Kidnapping / Abduction,97
Incest,14
Drug / Narcotic Violations,1313
Shoplifting,5010
Forcible Fondling,198
Credit Card / Automatic Teller,791
Pocket-Picking,47
Wire Fraud,278
Trespass of Real Property,4216
Involuntary Servitude,18
False Pretenses / Swindle,821
Purchasing Prostitution,8
All Other Larceny,3388
Forcible Rape,495
Uknown,8433
Drug Equipment Violations,405
Identity Theft,597
Murder,379
Prostitution,25
Burglary/Breaking and Entering,4566
"Family Offenses, Nonviolent",626
Disorderly Conduct,1177
Theft From Motor Vehicle,6615
Driving Under the Influence,1203
Extortion / Blackmail,59
Impersonation,11
Motor Vehicle Theft,8302
Weapon Law Violations,729
Theft From Building,2302
Aggravated Assault,8857
Assisting or Promoting Prostitution,1
Sexual Assault With An Object,36
Welfare Fraud,3
Animal Cruelty,12
Manslaughter by Negligence,8
