Rep_Dist,Crimes
PP0285,215
PJ3439,17
PJ6064,36
PC0056,7
PJ4716,3
PJ1325,54
PJ5142,18
PJ2881,10
PJ1354,56
PJ3172,19
PJ4493,22
PJ2439,32
PJ2711,22
PJ5862,16
PJ2001,7
PJ2129,2
PJ4079,22
PJ0892,20
PJ2452,10
PJ5389,6
PJ1428,11
PJ5274,14
PJ1047,28
PJ2072,22
PC0267,31
PJ3725,26
PC0193,12
PC0499,2
PJ4668,39
PJ1744,8
PJ3563,4
PJ4035,29
PJ4552,1
PJ4635,20
PJ4927,16
PJ4056,8
PC0806,4
PJ3063,3
PJ4229,10
PJ1843,8
PJ1437,6
PC0294,24
PJ4897,18
PJ6690,11
PJ3847,28
PJ3676,17
PJ0198,5
PJ4246,31
PJ2135,33
PJ4247,3
PJ2856,28
PJ2900,10
PJ4207,44
PJ0346,8
PJ7144,5
PJ5311,10
PJ3861,5
PJ2095,9
PJ5992,6
PJ2577,13
PJ6190,46
PJ0068,14
PJ1564,1
PJ4307,134
PJ1013,28
PJ5125,9
PJ0062,24
PC0153,3
PJ6035,3
PJ4832,15
PJ5516,18
PC0092,6
PJ4693,2
PJ3593,6
PC0879,6
PJ0057,3
PJ1473,61
PJ0371,32
PJ5132,16
PJ0288,6
PJ1503,33
PJ0699,8
PJ0694,17
PJ0033,33
PJ4007,14
PC1157,2
PJ6193,4
PJ0499,28
PJ1190,21
PJ2904,7
PP0438,12
PJ4286,18
PJ0463,11
PJ3321,15
PJ0622,11
PJ0149,1
PP0265,26
PJ1619,33
PP0574,8
PJ5296,29
PJ3870,17
PC0304,39
PJ6826,21
PJ0249,7
PJ1438,13
PJ5131,6
PJ1160,13
PJ5662,53
PJ2755,20
PJ0232,21
PC1016,2
PJ4628,2
PJ2111,6
PJ5994,17
PJ3469,4
PJ1849,19
PJ3340,16
PJ0807,5
PJ6917,2
PJ1575,6
PJ6120,1
PJ3744,1
PJ3711,14
PJ3210,10
PJ4774,1
PJ6242,10
PJ6685,1
PJ3476,9
PJ0772,2
PJ6103,8
PC1281,7
PJ3208,18
PJ2664,66
PC0245,2
PJ2533,22
PJ3054,7
PJ6670,13
PJ3123,6
PJ5128,2
PC1209,2
PJ5943,4
PJ6184,6
PJ5590,12
PJ3205,4
PC1349,11
PJ4439,9
PJ4410,2
PJ0469,18
PJ3061,6
PJ2373,6
PJ3314,6
PJ6445,42
PJ4317,15
PJ3799,79
PJ0679,30
PJ1983,12
PJ0336,46
PJ6761,2
PJ0407,36
PJ6537,8
PJ3560,49
PC0474,4
PC0123,8
PJ2279,8
PJ7130,21
PJ2605,12
PJ3322,3
PJ5568,2
PJ7014,5
PJ7048,1
PJ1987,10
PJ7159,2
PP0418,2
PJ5394,2
PJ3501,3
PJ0969,10
PJ2169,172
PJ7041,23
PC1293,3
PJ1350,79
PJ0326,5
PJ1544,27
PJ0498,18
PJ7093,3
PJ7232,7
PJ1733,3
PJ2180,7
PC1237,2
PJ3477,4
PJ4703,6
PJ2681,14
PJ6374,6
PP0661,1
PJ1561,6
PJ5312,12
PJ4624,3
PJ4707,9
PJ5899,13
PC0580,5
PJ3446,46
PJ1092,49
PJ2287,11
PJ2241,30
PJ0261,18
PJ5595,2
PJ6706,1
PC1160,18
PJ6488,7
PJ1466,31
PJ3157,11
PJ2020,3
PJ0230,25
PJ7207,1
PJ2026,8
PJ0008,6
PJ0369,2
PC1103,9
PJ0381,16
PJ6433,4
PJ1432,13
PC1385,4
PJ4148,6
PJ0029,44
PJ6002,3
PJ2713,16
PJ7467,2
PJ3631,20
PJ1671,5
PC0752,3
PJ2655,37
PJ4073,21
PJ4099,24
PJ2595,19
PJ3094,14
PC1329,25
PJ6754,14
