Zip_Code,Crimes
64127,5032
64117,2105
64112,1914
64138,1811
64113,749
64156,362
64139,168
64123,1836
64145,704
64153,1570
64158,525
64137,1705
64055,41
64136,242
64154,1596
64124,3377
64131,4138
64105,1986
64102,205
64114,3551
64111,6775
64161,500
64101,170
64110,3081
64126,1299
64128,4219
64106,4686
64155,1549
64151,1784
64068,111
64152,496
6411,51
64129,2426
64118,2105
64134,3457
64133,4977
64116,1354
64130,5789
64109,3111
64163,27
64157,962
64149,26
64132,4314
64125,579
64108,5112
64146,110
64120,1337
64147,257
64119,1548
