Age,Crimes
31,1800
85,45
65,389
53,672
78,63
34,1739
81,69
28,1852
76,136
27,1855
26,1966
44,1134
91,5
22,1514
93,5
47,826
52,755
86,18
20,1228
40,1460
57,593
54,676
48,819
19,1060
92,8
64,383
41,1464
43,1319
37,1405
61,562
88,26
72,192
35,1725
55,653
59,590
39,1415
23,1775
49,783
84,31
87,13
51,820
69,249
97,2
63,438
77,73
50,846
45,1082
38,24459
82,54
80,81
25,1959
73,170
24,1744
70,251
62,534
29,1846
21,1436
32,1945
60,663
90,9
75,130
56,595
58,591
33,1933
83,38
71,211
68,247
42,1358
79,67
30,2173
66,356
67,340
46,925
18,970
74,141
36,1514
89,19
96,1
95,2
94,4
99,1
98,1
