Rep_Dist,Crimes
PJ5862,21
PP0285,233
PJ6064,34
PJ5142,35
PJ1354,82
PJ2439,3
PJ4079,18
PJ2711,2
PJ3195,16
PJ1325,48
PJ3172,7
PJ2129,6
PJ4716,7
PJ4493,6
PC0427,2
PJ0187,4
PJ2475,6
PJ2881,8
PJ6145,1
PJ2228,1
PJ1021,3
PJ4035,31
PJ3725,24
PJ2072,41
PJ5389,4
PJ6266,4
PC0267,14
PJ4056,13
PJ4635,14
PJ1428,20
PJ5523,2
PJ3563,4
PJ1047,10
PJ4668,5
PJ2622,1
PJ3063,3
PJ6116,4
PJ4552,5
PJ2856,41
PC0294,19
PJ1843,16
PJ2135,14
PJ6247,2
PJ3847,17
PJ4897,10
PJ4207,60
PJ4086,2
PJ0346,9
PJ3861,15
PJ6690,20
PJ0198,7
PJ2900,3
PJ4246,35
PJ5311,12
PJ4307,167
PJ2577,39
PJ5125,3
PJ0062,22
PJ5516,8
PJ3977,5
PJ5992,5
PJ0057,5
PJ6190,34
PJ2095,6
PJ2385,22
PJ1865,5
PJ4832,9
PJ1013,19
PJ3593,7
PJ4208,8
PJ0033,16
PJ6480,7
PJ3652,8
PJ5303,1
PJ0694,13
PJ1473,82
PC1157,3
PJ4268,2
PJ0499,6
PJ1190,10
PJ0288,4
PJ4286,17
PJ2815,13
PP0438,2
PJ0371,45
PJ0149,3
PJ1503,9
PJ0463,6
PJ0383,14
PJ4007,12
PJ5132,15
PJ6193,19
PP0265,26
PJ5662,51
PJ5131,5
PJ5296,21
PJ2755,12
PJ1160,11
PJ6826,29
PC0609,4
PC1016,23
PJ3711,22
PJ6220,3
PJ3469,7
PP0574,8
PJ1849,5
PC0304,34
PJ0985,8
PJ3476,6
PJ3210,8
PJ4724,22
PJ5994,6
PC0837,2
PJ4628,1
PJ1619,22
PJ3870,15
PJ1575,4
PJ2490,3
PJ0249,4
PJ0232,3
PJ2111,1
PJ0517,5
PJ0469,28
PJ6308,52
PJ4439,8
PJ2664,35
PC1281,3
PJ3061,8
PJ3535,14
PJ3123,8
PJ6670,7
PJ6103,11
PJ5943,5
PC1349,8
PJ4851,2
PJ2533,12
PJ6184,5
PC0245,2
PJ5590,7
