Zip_Code,Crimes
64127,4506
64117,1547
64112,1659
64138,1646
64113,509
64156,260
64139,158
64123,1660
64145,633
64153,1195
64158,464
64055,34
64137,1436
64136,257
64154,1901
64131,3615
64124,2657
64105,2126
64102,148
64111,6407
64114,2778
64161,313
64101,159
64110,2502
64126,1093
64128,3533
64079,25
64106,4283
64155,1529
64151,1577
64068,60
64152,357
64129,2207
64118,1776
64134,2976
64133,3523
64116,1066
64130,5350
64109,2673
64163,24
64157,767
64132,4213
64125,457
64108,4676
64146,59
64120,1082
64147,200
64030,20
64119,1205
